User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,3,09-26-24,01:49:58,9.0894829,14.79604,7.597567,7.682386,(7.21132;7.21132;7.21132),312,10.18236,3.618511,6.869307,(3.017184;3.017184;3.017184),275,(-1.144136;5.290257;-4.619962),(0.2436521;0.1005218;-0.02539897;0.9643049),(7.21132;7.21132;7.21132),(-0.3335621;2.783721;-1.26444),(0.1685323;0.08787786;-0.01508703;0.9816551),(3.017184;3.017184;3.017184),(0.2820395;1.557516;2.146349),(-3.612721E-05;-0.9864304;-0.1641194;-0.004462659),(1;1;1),(0.3169499;1.552045;2.174354),(0.09231117;0.3645034;-0.9266),14.741525
,spaceTest,1,09-26-24,01:50:07,17.3629119,24.48926,5.973773,5.185618,(4.067856;4.067856;4.067856),30,22.05777,2.249538,5.678849,(1.647069;1.647069;1.647069),143,(2.135763;4.909905;-3.195967),(0.2620632;-0.1594648;0.04395374;0.9507691),(4.067856;4.067856;4.067856),(0.8814766;1.234803;-0.2020493),(-0.063908;-0.1221788;-0.00788375;0.9904171),(1.647069;1.647069;1.647069),(0.2965026;1.546741;2.132855),(-0.04665345;-0.993549;-0.1016979;-0.01847391),(1;1;0.9999999),(0.320181;1.541175;2.161852),(-0.09139085;0.1625593;-0.982443),22.959881
,spaceTest,13,09-26-24,01:50:18,28.3240999,24.44125,5.826342,7.541143,(5.765257;5.765257;5.765257),218,16.28583,5.619995,4.464708,(3.12413;3.12413;3.12413),148,(-1.154485;0.6874833;-4.047443),(-0.06666498;0.1141873;0.00767995;0.9911903),(5.765257;5.765257;5.765257),(1.367324;1.16535;-3.613374),(-0.03225453;-0.09274776;-0.003006077;0.9951625),(3.12413;3.12413;3.12413),(0.2876511;1.544484;2.12864),(-0.0308744;-0.9948221;-0.09401695;-0.02316604),(1;1;1),(0.2865308;1.542393;2.156966),(0.06209506;0.1052628;-0.9924895),32.2777172
,spaceTest,10,09-26-24,01:50:27,37.69725,15.79013,3.098743,6.678296,(2.569421;2.569421;2.569421),17,5.51409,5.978542,5.404796,(3.879292;3.879292;3.879292),338,(0.7836641;2.647507;-0.8532367),(0.1745539;-0.08029296;0.01428305;0.9812645),(2.569421;2.569421;2.569421),(0.4477517;2.666572;-3.767845),(0.09444863;-0.01311954;0.001244795;0.9954425),(3.879292;3.879292;3.879292),(0.2922816;1.536966;2.129265),(-0.04082762;-0.9976021;-0.04972987;-0.02549894),(1;0.9999999;1),(0.2873096;1.538108;2.156812),(0.05805238;0.1148012;-0.9916793),41.8181662
,spaceTest,2,09-26-24,01:50:36,47.1933438,10.65904,2.584077,6.911645,(2.171237;2.171237;2.171237),35,24.0517,6.267857,6.003146,(4.923438;4.923438;4.923438),162,(0.7872765;2.374334;-0.3051901),(0.1584842;-0.09797783;0.01580676;0.9823611),(2.171236;2.171237;2.171236),(1.345958;-0.01416612;-4.458838),(-0.1141529;-0.07840063;-0.009037107;0.9903236),(4.923438;4.923438;4.923438),(0.294284;1.547439;2.141685),(-0.04868033;-0.9940898;-0.09213842;-0.03043536),(1;1;1),(0.2933984;1.545427;2.169707),(0.05955271;0.103152;-0.9928761),52.5572495
,spaceTest,9,09-26-24,01:50:53,63.8968368,24.64865,7.113623,6.455759,(6.037057;6.037057;6.037057),89,20.78527,7.311818,4.381186,(4.095083;4.095083;4.095083),220,(3.849579;1.294988;-4.847986),(-0.01421279;-0.2344186;-0.003427629;0.9720258),(6.037056;6.037057;6.037058),(-1.307669;-0.5832311;-5.246201),(-0.1352013;0.1052473;0.01444471;0.9851066),(4.095084;4.095084;4.095083),(0.2835062;1.523823;2.115438),(-0.03017577;-0.9992902;0.005647943;-0.02183427),(1;1;1),(0.3183271;1.526189;2.1451),(0.0539911;0.07187054;-0.9959365),70.4383426
,spaceTest,12,09-26-24,01:51:02,72.4925843,9.183698,2.51788,5.793784,(1.765793;1.765793;1.765793),256,6.858025,6.125392,7.437992,(5.481857;5.481857;5.481857),130,(0.008716106;2.494326;-0.2004433),(0.1841456;0.05717171;-0.0107299;0.9811762),(1.765793;1.765793;1.765793),(1.130774;3.543027;-3.623357),(0.1616553;-0.07159545;0.01175987;0.9841765),(5.481858;5.481858;5.481858),(0.2847886;1.569525;2.16048),(-0.01631078;-0.9788051;-0.2030513;-0.02109329),(1;1;1),(0.3182554;1.560176;2.188729),(0.05481007;0.3651811;-0.9293151),76.8240599
,spaceTest,16,09-26-24,01:51:09,80.0893205,16.58281,2.568332,7.156148,(2.290985;2.290985;2.290985),194,21.41802,2.5734,7.673613,(2.533874;2.533874;2.533874),316,(0.2358951;1.573585;-0.5344074),(0.003134435;0.009492247;-2.975432E-05;0.9999501),(2.290985;2.290985;2.290985),(-0.2046702;3.016131;-0.1508356),(0.2729836;0.1012051;-0.02889151;0.9562441),(2.533874;2.533874;2.533874),(0.2867665;1.556785;2.144847),(-0.02951421;-0.989033;-0.1417053;-0.02936379),(1;1;1),(0.2717715;1.552404;2.172582),(0.05371431;0.1180977;-0.99154),85.2204365
,spaceTest,6,09-26-24,01:51:17,88.1409515,22.13796,3.140507,6.719972,(2.722079;2.722079;2.722079),272,24.07662,3.523379,4.436492,(2.046181;2.046181;2.046181),251,(-0.7855914;2.307965;-0.9893742),(0.1116672;0.1645648;-0.01875449;0.9798455),(2.722079;2.72208;2.72208),(-1.035797;1.858525;-1.476439),(0.04001179;0.1753945;-0.007134433;0.983659),(2.046181;2.046181;2.046181),(0.2936158;1.545093;2.132887),(-0.05858167;-0.993755;-0.09193595;-0.02381205),(1;1;1),(0.3251787;1.538923;2.162395),(0.08251841;0.09371825;-0.9921643),93.6720154
,spaceTest,4,09-26-24,01:51:26,96.911382,23.44339,5.879732,6.332314,(4.848856;4.848856;4.848856),177,18.92232,5.574131,7.917733,(5.572942;5.572942;5.572942),128,(0.7118999;-0.04632878;-4.056018),(-0.1250438;-0.03483238;-0.004392783;0.9915299),(4.848856;4.848857;4.848856),(2.077454;1.233917;-3.465146),(-0.02607041;-0.1548657;-0.004088175;0.987583),(5.572942;5.572942;5.572942),(0.2762579;1.544807;2.136767),(-0.006652989;-0.9964693;-0.07914337;-0.02722392),(1;1;1),(0.3106158;1.543084;2.167161),(0.05761851;0.07081168;-0.9958194),103.3894946
