User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,16,09-26-24,12:02:28,17.2003688,16.58281,2.568332,7.156148,(2.290985;2.290985;2.290985),194,21.41802,2.5734,7.673613,(2.533874;2.533874;2.533874),316,(0.0883099;0.977282;-0.2546738),(-0.09562792;0.02165516;0.002080869;0.9951794),(2.290985;2.290985;2.290985),(-0.4230393;2.443016;-0.1437269),(0.174242;0.1196385;-0.02133297;0.9771752),(2.533874;2.533874;2.533874),(0.2027465;1.487578;2.373591),(-0.002156324;-0.9989107;-0.04443318;-0.0140885),(1;1;1),(0.2013781;1.489461;2.397073),(0.05904975;0.06405495;-0.9961846),24.134703
,spaceTest,10,09-26-24,12:02:38,27.0109975,15.79013,3.098743,6.678296,(2.569421;2.569421;2.569421),17,5.51409,5.978542,5.404796,(3.879291;3.879291;3.879291),338,(0.5339985;2.621096;-0.6238558),(0.1785433;-0.05412989;0.009837748;0.9823927),(2.569421;2.569421;2.569421),(0.1162723;2.60919;-3.527905),(0.09374415;0.007301895;-0.0006875562;0.9955693),(3.879291;3.879291;3.879291),(0.2028247;1.488001;2.372224),(-0.007527624;-0.9987178;-0.04908224;-0.009851102),(1;1;1),(0.2026865;1.489431;2.395916),(0.06447253;0.07396538;-0.9951688),32.2752575
,spaceTest,7,09-26-24,12:02:45,33.7753729,13.24869,5.121621,4.991547,(3.138668;3.138668;3.138668),48,5.930946,7.641407,6.348019,(5.826998;5.826998;5.826998),317,(1.243365;3.120942;-2.518626),(0.155693;-0.1031752;0.01635367;0.9822663),(3.138668;3.138668;3.138668),(-0.13165;3.34155;-5.073556),(0.1211161;0.02232332;-0.002724464;0.9923836),(5.826998;5.826997;5.826998),(0.2036666;1.493833;2.375926),(-0.008231848;-0.9964241;-0.08318894;-0.01228228),(0.9999999;0.9999999;1),(0.2015501;1.493379;2.399328),(0.0582028;0.07077426;-0.9957787),37.7502534
,spaceTest,6,09-26-24,12:02:50,39.2494361,22.13796,3.140507,6.719972,(2.72208;2.72208;2.72208),272,24.07662,3.523379,4.436492,(2.046181;2.046181;2.046181),251,(-0.8712201;2.065686;-0.7871083),(0.08354547;0.1628388;-0.01383955;0.9830118),(2.72208;2.72208;2.72208),(-1.062977;1.58128;-1.267119),(0.01121252;0.1668319;-0.00189732;0.9859198),(2.046181;2.046181;2.046181),(0.2063764;1.493514;2.37621),(-0.006479374;-0.9962188;-0.08095584;-0.03085866),(0.9999999;1;0.9999999),(0.203971;1.493258;2.3998),(0.05347056;0.08077705;-0.9952841),42.9260307
,spaceTest,8,09-26-24,12:02:58,46.9458402,8.983836,7.244091,4.529828,(3.970431;3.970431;3.970431),14,20.67764,6.841031,4.964823,(4.338425;4.338425;4.338425),276,(1.328144;3.144225;-4.688612),(0.1135158;-0.0782326;0.00896662;0.9904107),(3.970431;3.970431;3.97043),(-1.33388;1.776829;-4.775327),(0.01985783;0.1059954;-0.002117191;0.9941661),(4.338425;4.338426;4.338425),(0.2065523;1.484838;2.366664),(0.09312546;-0.9922781;-0.02892899;-0.07664837),(1;1;1),(0.2322863;1.492538;2.395294),(0.1072062;0.060215;-0.9924046),51.4440441
,spaceTest,14,09-26-24,12:03:05,53.5883313,6.990035,3.474663,6.570588,(2.74817;2.74817;2.74817),67,22.97203,4.853267,6.88367,(4.335125;4.335125;4.335125),267,(0.6014688;2.127609;-1.044101),(0.09114731;-0.05821669;0.00533768;0.99412),(2.74817;2.74817;2.74817),(-1.840317;2.036607;-2.455163),(0.05078819;0.1982274;-0.01028582;0.9787853),(4.335125;4.335126;4.335125),(0.1996753;1.49103;2.374687),(0.001363864;-0.9976912;-0.06788342;-0.001553898),(1;0.9999999;1),(0.2092698;1.491818;2.39897),(0.05654921;0.08768851;-0.9945353),57.0858098
,spaceTest,4,09-26-24,12:03:10,58.992109,23.44339,5.879732,6.332314,(4.848856;4.848856;4.848856),177,18.92232,5.574131,7.917733,(5.572942;5.572942;5.572942),128,(0.3508489;-0.2494781;-3.791698),(-0.1370726;-0.01201266;-0.001662423;0.9904868),(4.848856;4.848856;4.848856),(1.735422;1.051322;-3.297963),(-0.03700813;-0.1315964;-0.00491635;0.9906002),(5.572942;5.572942;5.572942),(0.2012621;1.490993;2.374377),(-0.005557867;-0.9977409;-0.06686673;-0.003315317),(1;0.9999999;1),(0.2002205;1.49169;2.398337),(0.05887998;0.0757966;-0.9953775),62.4948628
,spaceTest,15,09-26-24,12:03:15,64.2269935,18.42144,6.865956,6.886582,(5.95405;5.95405;5.95405),114,12.85052,5.337816,4.307943,(2.81885;2.81885;2.81885),40,(2.548963;1.353923;-4.475513),(-0.009247957;-0.1641722;-0.001539211;0.9863871),(5.95405;5.954051;5.954051),(1.200034;3.03887;-2.78617),(0.1423062;-0.0941644;0.01360093;0.9852396),(2.81885;2.81885;2.81885),(0.2053571;1.48961;2.369936),(-0.005211942;-0.9980345;-0.05951271;-0.01892708),(1;1;1),(0.2053521;1.489602;2.369885),(0.03834134;0.1183274;-0.9922341),67.670001
,spaceTest,9,09-26-24,12:03:20,69.1690996,24.64865,7.113623,6.455759,(6.037057;6.037057;6.037057),89,20.78527,7.311818,4.381186,(4.095083;4.095083;4.095083),220,(3.864773;2.503585;-4.471363),(0.06285916;-0.2425169;0.01574867;0.9679806),(6.037057;6.037057;6.037056),(-1.176144;0.4390569;-5.252625),(-0.06715699;0.08930176;0.006035141;0.9937196),(4.095083;4.095083;4.095083),(0.2055699;1.491335;2.372912),(-0.004851033;-0.9970998;-0.07064778;-0.02788288),(1;1;1),(0.2042577;1.49179;2.39646),(0.05393513;0.07225537;-0.9959167),74.2017489
,spaceTest,5,09-26-24,12:03:27,76.3326902,9.506285,2.861339,6.098215,(2.113961;2.113961;2.113961),206,16.58575,4.326537,7.306915,(3.940586;3.940586;3.940586),165,(0.1441686;1.374958;-0.526686),(-0.01968817;0.01053122;0.0002073921;0.9997507),(2.113961;2.113961;2.11396),(0.7641556;0.7239096;-2.042179),(-0.08489919;-0.06271037;-0.005354043;0.9943998),(3.940586;3.940586;3.940586),(0.2052356;1.48918;2.371601),(-0.0005699492;-0.9981613;-0.05481187;-0.02587213),(1;1;1),(0.2038001;1.490511;2.395077),(0.05866215;0.07060631;-0.995777),79.3151642
