User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,15,09-25-24,06:45:13,19.4804833,9.203587,3.78316,5.134215,(0.1027879;0.1027879;0.1027879),83,13.30418,7.23404,5.5444,(0.215284;0.215284;0.215284),260,(22.12418;4.340318;23.98193),(0.01014852;-0.08013269;0.0008158945;0.9967322),(0.1027879;0.1027879;0.1027879),(19.81322;4.143949;20.52857),(-0.007906853;0.115041;0.0009157211;0.9933289),(0.215284;0.215284;0.215284),(21.51203;4.262282;27.76442),(-0.03012651;-0.9995321;-0.005300378;0.0001148747),(1;1;1),(21.54443;4.262093;27.78852),(0.01130502;-0.01988667;-0.999732),21.7190276
,officeTest,6,09-25-24,06:45:18,23.871151,15.69787,5.666652,6.018384,(0.1850317;0.1850317;0.1850317),278,19.62535,4.171695,6.406139,(0.1481851;0.1481851;0.1481851),110,(19.9456;4.928817;22.10367),(0.05624609;0.134622;-0.007654091;0.9892698),(0.1850317;0.1850317;0.1850317),(22.90465;4.037966;23.54211),(-0.02493437;-0.1598394;-0.004038727;0.9868199),(0.1481851;0.1481851;0.1481851),(21.50835;4.261641;27.73927),(-0.008744977;-0.9992783;-0.03696172;-0.0005807746),(1;1;1),(21.52205;4.26256;27.76431),(0.01797541;0.008848943;-0.9997881),26.5609118
,officeTest,12,09-25-24,06:45:26,32.3385523,22.52719,3.5995,6.490871,(0.1321034;0.1321034;0.1321034),317,14.56831,6.045464,6.246094,(0.203773;0.203773;0.203773),241,(20.57807;5.657685;24.21151),(0.1812827;0.1272803;-0.02366844;0.9748724),(0.1321034;0.1321034;0.1321034),(20.24058;4.017635;21.61505),(-0.01905146;0.1023422;0.001960424;0.9945649),(0.203773;0.203773;0.203773),(21.51169;4.25685;27.72596),(-0.007877222;-0.9990772;-0.04122754;-0.009118724),(1;1;1),(21.52301;4.257625;27.75047),(0.002184644;0.007057466;-0.9999685),35.2219643
,officeTest,8,09-25-24,06:45:32,38.2988145,15.4117,4.440921,4.363125,(0.1050029;0.1050029;0.1050029),267,17.01832,6.439601,6.094673,(0.2143788;0.2143788;0.2143788),120,(20.34531;4.311648;23.30531),(0.005104473;0.1267563;-0.0006522945;0.9919205),(0.1050029;0.1050029;0.1050029),(23.28376;3.366554;21.33097),(-0.06618967;-0.1342761;-0.00898936;0.9886901),(0.2143788;0.2143788;0.2143788),(21.50367;4.264238;27.76361),(-0.01059121;-0.9998709;-0.009691782;-0.007229934),(1;1;1),(21.49652;4.267755;27.78882),(-0.0013492;0.009006366;-0.9999559),42.3935937
,officeTest,17,09-25-24,06:45:39,44.8184082,12.59878,4.733925,7.128622,(0.1805773;0.1805773;0.1805773),126,18.43868,4.155163,6.832088,(0.15628;0.15628;0.15628),312,(22.43825;3.943017;23.01576),(-0.03301685;-0.09910578;-0.003290178;0.9945236),(0.1805773;0.1805773;0.1805773),(20.35649;5.198174;23.63218),(0.1062239;0.1320439;-0.01423356;0.985433),(0.15628;0.15628;0.15628),(21.4831;4.264738;27.76062),(0.06826656;-0.9974881;-0.01854589;-0.003639953),(1;0.9999999;1),(21.47408;4.26686;27.78721),(0.001227448;0.0102189;-0.9999439),47.6831946
,officeTest,4,09-25-24,06:45:44,50.1265981,22.89365,5.962791,6.635367,(0.2243032;0.2243032;0.2243032),4,22.59854,6.418751,6.019238,(0.2185839;0.2185839;0.2185839),168,(21.36173;7.198212;21.99498),(0.2326328;0.01020233;-0.00244049;0.9725081),(0.2243032;0.2243032;0.2243032),(22.42015;2.21301;21.19062),(-0.1491784;-0.06994653;-0.0105797;0.9862765),(0.2185839;0.2185838;0.2185839),(21.48282;4.269179;27.76571),(0.06624275;-0.9971693;-0.03514447;-0.005498813),(1;1;1),(21.51398;4.273749;27.78938),(0.01196378;0.01928019;-0.9997311),53.3039861
,officeTest,16,09-25-24,06:45:52,57.7755258,18.44177,7.962446,6.137726,(0.2690749;0.2690749;0.2690749),42,13.89539,2.357182,6.768994,(0.08584098;0.08584098;0.08584098),141,(23.13656;6.82909;19.91503),(0.1543421;-0.1022394;0.01605956;0.9825822),(0.2690749;0.2690749;0.2690749),(21.87616;3.975246;25.35199),(-0.05766385;-0.07980506;-0.004624385;0.9951305),(0.08584097;0.08584097;0.08584097),(21.49177;4.255719;27.73315),(0.02713732;-0.9991156;-0.03211491;0.0005316967),(1;1;1),(21.49177;4.255719;27.73315),(-0.002805478;0.06414416;-0.9979367),59.8899515
,officeTest,2,09-25-24,06:45:56,61.9228426,10.88437,6.921263,6.77217,(0.2492731;0.2492731;0.2492731),217,21.17691,4.33619,4.012195,(0.09747607;0.09747607;0.09747607),57,(20.58093;3.612974;20.77206),(-0.04547609;0.06715462;0.003064038;0.996701),(0.249273;0.2492731;0.2492731),(22.89304;5.370292;23.42603),(0.119391;-0.1524975;0.01856152;0.9808903),(0.09747607;0.09747607;0.09747607),(21.52246;4.254796;27.7274),(-0.01591317;-0.9994387;-0.02832763;0.008171265),(1;1;1),(21.55481;4.254505;27.75016),(0.01573546;0.01258087;-0.9997852),65.3995915
,officeTest,3,09-25-24,06:46:03,68.7761232,10.66576,2.477874,7.748291,(0.1020126;0.1020126;0.1020126),125,15.72553,7.490978,5.636563,(0.2291268;0.2291268;0.2291268),17,(21.88942;4.052608;25.23412),(-0.03904385;-0.07062561;-0.002766528;0.9967347),(0.1020126;0.1020126;0.1020126),(22.30369;6.512391;20.3164),(0.1467648;-0.05112647;0.007596088;0.9878201),(0.2291268;0.2291268;0.2291268),(21.53497;4.249844;27.72272),(-0.04145864;-0.9989322;-0.02031662;0.00171504),(1;1;1),(21.53149;4.252797;27.74666),(-0.00432412;0.01705333;-0.9998392),72.7735747
,officeTest,14,09-25-24,06:46:10,75.674302,10.0308,3.127033,5.198981,(0.08624274;0.08624274;0.08624274),353,19.54308,7.840015,7.858967,(0.3413831;0.3413831;0.3413831),17,(21.38062;4.97018;24.63756),(0.1134772;0.02372498;-0.002710531;0.9932536),(0.08624274;0.08624273;0.08624273),(22.21747;7.271771;20.00584),(0.1843637;-0.04372564;0.008210436;0.9818507),(0.3413831;0.3413831;0.3413831),(21.52833;4.253922;27.72778),(-0.03041878;-0.9990212;-0.02582472;0.01909395),(1;1;1),(21.52314;4.256661;27.75335),(-0.01123076;0.01570946;-0.9998005),78.203194
