User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,cemeteryTest,13,09-25-24,03:02:48,11.3957501,17.46599,5.650818,6.488371,(0.151011;0.151011;0.151011),19,24.67896,6.166981,7.949542,(0.2119135;0.2119135;0.2119135),18,(51.52261;0.1482722;-6.745133),(0.04784266;0.9400806;-0.1483108;0.3032547),(0.151011;0.151011;0.151011),(51.03122;1.178205;-6.46171),(0.06996121;0.9235483;-0.2036004;0.3173499),(0.2119136;0.2119135;0.2119135),(54.81618;-1.675503;-11.31889),(-0.009808001;-0.2596878;-0.009669721;0.9655944),(0.9999999;1;0.9999999),(54.82944;-1.675182;-11.34047),(-0.5118445;0.1003577;0.8531851),19.6466251
,cemeteryTest,3,09-25-24,03:03:02,25.4283176,6.42055,6.112201,6.682737,(0.1614852;0.1614852;0.1614852),26,24.4047,2.223952,4.915142,(0.0471706;0.0471706;0.0471706),283,(51.88659;-0.5663793;-6.032591),(0.02263102;0.9640402;-0.08727012;0.2499964),(0.1614852;0.1614852;0.1614852),(54.73185;-1.323715;-8.905378),(0.001403626;0.9972637;-0.07125537;0.01964463),(0.04717061;0.0471706;0.04717061),(54.82705;-1.670931;-11.32085),(-0.03173824;-0.2301726;-0.03421205;0.9720303),(1;1;0.9999999),(54.8105;-1.66945;-11.36162),(-0.4981339;0.08761766;0.862647),31.3520088
,cemeteryTest,12,09-25-24,03:03:10,32.8535389,23.94653,4.340179,5.335731,(0.09957003;0.09957003;0.09957003),218,5.667973,5.868839,5.705823,(0.1322251;0.1322251;0.1322251),223,(53.82969;-3.080487;-6.876547),(-0.01625933;0.982904;0.1485099;0.1076114),(0.09957004;0.09957003;0.09957002),(52.50411;-1.893221;-5.882689),(-0.00365484;0.9796801;0.01792702;0.1997306),(0.1322251;0.1322251;0.1322251),(54.81136;-1.677452;-11.30603),(-0.01348628;-0.2313393;-0.02729496;0.9723967),(0.9999999;1;1),(54.82687;-1.676061;-11.32777),(-0.5044836;0.09229471;0.8584569),39.4154084
,cemeteryTest,17,09-25-24,03:03:22,45.6008299,17.97525,7.77235,7.123653,(0.2286665;0.2286665;0.2286665),174,24.00991,3.857108,4.54921,(0.07548863;0.07548863;0.07548863),63,(50.63599;-3.09481;-4.441487),(-0.02362145;0.9593662;0.08450311;0.2681751),(0.2286666;0.2286665;0.2286666),(51.67894;-0.3456932;-8.811806),(0.06853481;0.8901622;-0.1427977;0.4272274),(0.07548865;0.07548863;0.07548866),(54.8079;-1.666419;-11.32067),(-0.06347337;-0.2507761;-0.02533861;0.9656295),(1;1;1),(54.82554;-1.667505;-11.34095),(-0.5110438;0.08843721;0.8549827),50.9847187
,cemeteryTest,9,09-25-24,03:03:29,52.4860269,11.51754,3.283516,6.629874,(0.08728327;0.08728327;0.08728327),213,24.14858,7.381601,6.90589,(0.2194698;0.2194698;0.2194698),153,(53.27362;-1.776267;-8.318347),(-0.003501502;0.9717491;0.01444538;0.235548),(0.08728328;0.08728327;0.08728329),(49.26162;-3.520564;-5.702733),(-0.04367686;0.9185905;0.1060866;0.3781925),(0.2194698;0.2194698;0.2194698),(54.80732;-1.676661;-11.2961),(-0.0647017;-0.2864043;-0.03066127;0.9554298),(1;1;1),(54.82518;-1.678097;-11.31583),(-0.5122736;0.08892807;0.8541936),57.5921463
,cemeteryTest,16,09-25-24,03:03:36,59.2383214,6.091058,5.523139,4.146605,(0.0905184;0.0905184;0.0905184),47,13.29336,3.238366,4.522404,(0.05913881;0.05913881;0.05913881),56,(51.78656;-0.9076781;-6.701892),(0.01984719;0.9558685;-0.06645121;0.2854922),(0.0905184;0.0905184;0.09051841),(52.70779;-1.030727;-8.79912),(0.0332867;0.9353941;-0.09160113;0.3399104),(0.05913882;0.05913881;0.05913881),(54.80348;-1.676252;-11.30189),(-0.03090542;-0.248681;-0.01219019;0.9680156),(1;0.9999999;1),(54.82263;-1.675229;-11.32116),(-0.5072016;0.08736282;0.8573812),65.3354476
,cemeteryTest,14,09-25-24,03:03:44,66.8363132,17.02526,5.83226,4.418657,(0.1059196;0.1059196;0.1059196),89,20.44485,3.462917,6.276436,(0.09113577;0.09113577;0.09113577),270,(50.43488;-1.437302;-7.053366),(0.007874712;0.9206653;-0.01859778;0.3898301),(0.1059196;0.1059196;0.1059196),(54.26165;-1.738946;-7.640665),(-0.0005582724;0.9971862;0.007463398;0.0745909),(0.09113582;0.09113576;0.0911358),(54.81141;-1.683629;-11.29484),(0.003419682;-0.2499076;-0.03937052;0.967463),(0.9999999;1;1),(54.83;-1.68129;-11.31443),(-0.5234395;0.08270545;0.8480273),74.3835306
,cemeteryTest,11,09-25-24,03:03:55,78.7631203,24.42449,4.3442,6.384884,(0.1196876;0.1196876;0.1196876),275,23.3421,3.307498,7.459337,(0.1055531;0.1055531;0.1055531),16,(54.28917;-1.506833;-6.548703),(0.0009993576;0.9983793;-0.0185478;0.0537928),(0.1196876;0.1196876;0.1196876),(52.83673;-0.2396055;-8.637554),(0.06421122;0.9294595;-0.1945057;0.3068379),(0.1055531;0.1055531;0.1055531),(54.80147;-1.684049;-11.289),(-0.003771957;-0.2637872;-0.02008437;0.9643644),(0.9999999;1;0.9999999),(54.8237;-1.681705;-11.3053),(-0.5062472;0.09011074;0.8576591),90.1136264
,cemeteryTest,5,09-25-24,03:04:10,93.138704,7.350287,5.696724,5.396839,(0.1218098;0.1218098;0.1218098),327,19.11157,2.909513,4.131718,(0.05000039;0.05000039;0.05000039),258,(52.21811;-0.9520577;-6.204328),(0.01497623;0.9702942;-0.06228825;0.233292),(0.1218098;0.1218098;0.1218098),(54.109;-1.891582;-8.286585),(-0.003814328;0.9928744;0.03310085;0.1144125),(0.0500004;0.05000038;0.05000041),(54.8078;-1.686496;-11.27845),(-0.002632706;-0.2718059;-0.03893354;0.9615607),(0.9999999;1;1),(54.84234;-1.686109;-11.28615),(-0.5195149;0.1058865;0.8478725),104.8958411
,cemeteryTest,4,09-25-24,03:04:23,106.3927553,5.367551,4.323144,5.088367,(0.08682372;0.08682372;0.08682372),256,20.58319,3.300875,6.191229,(0.08577044;0.08577044;0.08577044),6,(52.80238;-1.313499;-7.432903),(0.01018547;0.9703737;-0.04156513;0.2377885),(0.08682372;0.08682371;0.08682373),(53.07407;-0.07519555;-8.651046),(0.06754409;0.9309582;-0.2248926;0.2796033),(0.08577047;0.08577044;0.08577047),(54.80256;-1.684806;-11.26904),(-0.04524432;-0.282471;-0.04992099;0.956907),(0.9999999;1;1),(54.83562;-1.686353;-11.2774),(-0.5136986;0.0984305;0.8522976),112.3473664
