User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,16,09-27-24,10:54:40,13.2811282,16.58281,2.568332,7.156148,(2.290985;2.290985;2.290985),194,21.41802,2.5734,7.673613,(2.533875;2.533875;2.533875),316,(0.4299281;0.9495448;-0.3439883),(-0.09641007;-0.00876854;-0.0008493653;0.9953027),(2.290985;2.290985;2.290985),(-0.2177085;2.362146;-0.2586181),(0.1636195;0.1142;-0.01907241;0.9797057),(2.533874;2.533875;2.533875),(0.3835921;1.463875;2.285573),(0.04457381;-0.9974303;-0.04489556;-0.0336219),(1;1;1),(0.3803504;1.462504;2.316058),(0.0615998;0.1164819;-0.9912668),19.4212869
,spaceTest,14,09-27-24,10:54:47,20.9204196,6.990035,3.474663,6.570588,(2.74817;2.74817;2.74817),67,22.97203,4.853267,6.88367,(4.335125;4.335125;4.335125),267,(0.9823846;2.191038;-1.066468),(0.1054721;-0.08847383;0.009421646;0.9904339),(2.74817;2.74817;2.74817),(-1.347619;2.015878;-2.648271),(0.0526419;0.1665085;-0.008902476;0.9845936),(4.335125;4.335125;4.335125),(0.3758298;1.453818;2.301525),(0.02828948;-0.9958653;-0.07893831;-0.03493935),(1;0.9999999;1),(0.3565526;1.449551;2.330001),(0.05043085;0.1211397;-0.9913456),24.1310967
,spaceTest,3,09-27-24,10:54:52,25.7403227,14.79604,7.597567,7.682386,(7.211321;7.211321;7.211321),312,10.18236,3.618511,6.869307,(3.017184;3.017184;3.017184),275,(-0.4292668;3.904571;-5.120141),(0.1577527;0.05401109;-0.008641705;0.9859626),(7.211321;7.211321;7.211321),(0.09970373;2.048966;-1.315381),(0.0812923;0.03939288;-0.0032155;0.9959064),(3.017184;3.017184;3.017184),(0.3862451;1.452753;2.301033),(0.02992842;-0.9951224;-0.07807816;-0.05234149),(1;0.9999999;1),(0.3723917;1.448362;2.329235),(0.05928719;0.1189578;-0.9911242),28.6724603
,spaceTest,12,09-27-24,10:54:57,30.1714202,9.183698,2.51788,5.793784,(1.765793;1.765793;1.765793),256,6.858025,6.125392,7.437992,(5.481857;5.481857;5.481857),130,(0.2080746;1.606561;-0.2446636),(0.03089588;0.03365245;-0.001040809;0.9989554),(1.765793;1.765793;1.765793),(1.497947;1.733324;-3.765357),(0.02295746;-0.0911024;0.002100776;0.9955747),(5.481856;5.481857;5.481856),(0.3793973;1.448942;2.295265),(0.0460689;-0.9963916;-0.05560964;-0.04459943),(1;1;1),(0.3757191;1.446778;2.325463),(0.05828998;0.1075388;-0.9924891),33.2591166
,spaceTest,6,09-27-24,10:55:01,34.7585938,22.13796,3.140507,6.719972,(2.72208;2.72208;2.72208),272,24.07662,3.523379,4.436492,(2.046181;2.046181;2.046181),251,(-0.6523712;1.661799;-0.9295938),(0.03140183;0.1539751;-0.004895988;0.9875635),(2.72208;2.72208;2.72208),(-0.7808419;1.125011;-1.373648),(-0.04118983;0.1522747;0.006351827;0.9874591),(2.046181;2.046181;2.046181),(0.3776923;1.446402;2.29341),(0.04524732;-0.9972195;-0.04317029;-0.04052596),(1;1;1),(0.3743593;1.445068;2.323434),(0.0583661;0.1100456;-0.9922096),38.4476262
,spaceTest,8,09-27-24,10:55:07,40.8554096,8.983836,7.244091,4.529828,(3.970431;3.970431;3.970431),14,20.67764,6.841031,4.964823,(4.338426;4.338426;4.338426),276,(1.166567;3.210439;-4.776874),(0.1209104;-0.05510279;0.00672226;0.9911101),(3.970431;3.970431;3.970431),(-1.631708;2.148844;-4.697313),(0.0475621;0.139221;-0.006694643;0.9890958),(4.338426;4.338426;4.338426),(0.3774202;1.447244;2.298213),(0.03527345;-0.9975453;-0.04279217;-0.04275516),(1;1;0.9999999),(0.3785285;1.446259;2.328843),(0.05827216;0.1155263;-0.9915814),44.4103076
,spaceTest,15,09-27-24,10:55:12,45.9089483,18.42144,6.865956,6.886582,(5.954049;5.954049;5.954049),114,12.85052,5.337816,4.307943,(2.818849;2.818849;2.818849),40,(2.939708;1.584121;-4.467332),(0.009104999;-0.1803471;0.001669508;0.9835595),(5.954049;5.954049;5.954049),(1.337126;3.093995;-2.834988),(0.1512321;-0.09167229;0.01408725;0.9841375),(2.818849;2.818849;2.818849),(0.3725761;1.450148;2.297498),(0.05790043;-0.9961374;-0.05798713;-0.03154938),(1;1;0.9999999),(0.3919939;1.450072;2.329734),(0.05955013;0.09793999;-0.9934078),49.4625262
,spaceTest,1,09-27-24,10:55:18,50.9620279,24.48926,5.973773,5.185618,(4.067856;4.067856;4.067856),30,22.05777,2.249538,5.678849,(1.647069;1.647069;1.647069),143,(1.800787;4.597409;-3.283166),(0.2455299;-0.1212713;0.03097527;0.9612746),(4.067856;4.067856;4.067856),(1.164411;1.04718;0.03858845),(-0.08197028;-0.1677262;-0.01399601;0.9823202),(1.647069;1.647069;1.647069),(0.3701668;1.449456;2.296602),(0.06632594;-0.9957212;-0.05218654;-0.03764056),(1;0.9999999;0.9999999),(0.3716924;1.447985;2.327068),(0.05562292;0.1170143;-0.9915568),54.5688846
,spaceTest,10,09-27-24,10:55:23,56.0711208,15.79013,3.098743,6.678296,(2.569421;2.569421;2.569421),17,5.51409,5.978542,5.404796,(3.879292;3.879292;3.879292),338,(0.9571512;2.588513;-0.6622092),(0.1792375;-0.09448471;0.01729661;0.9791054),(2.569421;2.569421;2.569421),(0.8859225;2.520548;-3.59452),(0.08958689;-0.04256076;0.003831808;0.9950619),(3.879292;3.879292;3.879292),(0.3813024;1.447725;2.293646),(0.04138043;-0.9959773;-0.04412335;-0.06610619),(1;1;1),(0.3761892;1.446651;2.324294),(0.06503887;0.1085096;-0.9919564),60.0134727
,spaceTest,2,09-27-24,10:55:28,61.512864,10.65904,2.584077,6.911645,(2.171237;2.171237;2.171237),35,24.0517,6.267857,6.003146,(4.923437;4.923437;4.923437),162,(0.8089837;2.188416;-0.1887906),(0.1411981;-0.08510072;0.01218368;0.9862416),(2.171236;2.171237;2.171237),(1.994082;-0.3244689;-4.13224),(-0.1294346;-0.1218551;-0.01602967;0.9839416),(4.923437;4.923438;4.923437),(0.3766523;1.450634;2.297725),(0.05047043;-0.9960847;-0.05959001;-0.04143765),(0.9999999;1;1),(0.3678886;1.447836;2.326952),(0.05940493;0.1099545;-0.9921589),64.8985636
,spaceTest,7,09-27-24,10:55:33,66.4000713,13.24869,5.121621,4.991547,(3.138668;3.138668;3.138668),48,5.930946,7.641407,6.348019,(5.826998;5.826998;5.826998),317,(1.434619;3.113723;-2.574573),(0.1589955;-0.1056978;0.01712301;0.9814557),(3.138668;3.138668;3.138668),(0.1649241;3.121352;-5.192744),(0.1092545;0.01369903;-0.001505838;0.9939183),(5.826998;5.826998;5.826998),(0.3716026;1.452543;2.303498),(0.05494254;-0.9952667;-0.07426422;-0.03017096),(1;0.9999999;1),(0.371257;1.449331;2.333743),(0.05905827;0.1141728;-0.9916979),69.6787526
