User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,7,09-27-24,11:38:41,19.9518288,13.24869,5.121621,4.991547,(3.138668;3.138668;3.138668),48,5.930946,7.641407,6.348019,(5.826998;5.826998;5.826998),317,(1.484832;2.800681;-2.534732),(0.129109;-0.1240039;0.01627511;0.9837119),(3.138668;3.138667;3.138667),(0.2305233;2.868248;-5.159451),(0.09316966;-0.0004785603;4.478209E-05;0.9956502),(5.826998;5.826998;5.826998),(0.2232663;1.442917;2.389699),(-0.003091647;-0.9978245;-0.05538097;-0.03563105),(1;1;0.9999999),(0.2188503;1.443102;2.418427),(0.2705921;0.3890499;-0.8805608),25.3369823
,spaceTest,0,09-27-24,11:38:54,32.9452033,9.264398,5.649717,7.16287,(4.898438;4.898438;4.898438),274,21.40404,3.243759,6.67652,(2.779161;2.779161;2.779161),275,(-0.4250086;1.898836;-3.280677),(0.04012537;0.05647346;-0.002271481;0.9975949),(4.898438;4.898438;4.898438),(-0.8896394;1.769457;-0.8976524),(0.04683882;0.1617696;-0.007687126;0.9856864),(2.779161;2.779162;2.779161),(0.2189446;1.439086;2.388763),(0.005827309;-0.999043;-0.03570898;-0.02457464),(0.9999999;1;1),(0.2178557;1.438392;2.417338),(-0.1660868;-0.04955882;-0.9848576),35.6328501
,spaceTest,2,09-27-24,11:38:59,37.8872983,10.65904,2.584077,6.911645,(2.171236;2.171236;2.171236),35,24.0517,6.267857,6.003146,(4.923437;4.923437;4.923437),162,(0.6815571;2.12048;-0.1098225),(0.1294808;-0.09011773;0.01181732;0.9874077),(2.171237;2.171237;2.171236),(1.587748;-0.5167015;-4.046056),(-0.1434421;-0.1033137;-0.01505843;0.9841361),(4.923436;4.923437;4.923436),(0.2216519;1.442528;2.38875),(0.00674748;-0.9978395;-0.05390199;-0.03695235),(0.9999999;0.9999999;0.9999999),(0.2198782;1.441047;2.417714),(-0.252791;0.00279817;-0.9675005),40.7184925
,spaceTest,1,09-27-24,11:39:04,43.2397838,24.48926,5.973773,5.185618,(4.067856;4.067856;4.067856),30,22.05777,2.249538,5.678849,(1.647069;1.647069;1.647069),143,(1.829402;4.654483;-3.106432),(0.2500726;-0.1372979;0.03584822;0.9577724),(4.067855;4.067856;4.067856),(0.8748018;1.05602;0.0846429),(-0.07970434;-0.1373847;-0.01109165;0.9872435),(1.647069;1.647069;1.647069),(0.2206819;1.445398;2.389375),(0.002099715;-0.9970319;-0.07357015;-0.02259392),(1;0.9999999;1),(0.1916222;1.44344;2.415212),(-0.2025142;0.09115566;-0.9750187),48.1484674
,spaceTest,10,09-27-24,11:39:12,51.4470458,15.79013,3.098743,6.678296,(2.569421;2.569421;2.569421),17,5.51409,5.978542,5.404796,(3.879292;3.879292;3.879292),338,(0.6537322;2.740101;-0.5290784),(0.204914;-0.07208367;0.0151341;0.9760047),(2.569421;2.569421;2.569421),(0.3783064;2.861213;-3.447573),(0.1187231;-0.01341584;0.001604264;0.9928355),(3.879292;3.879292;3.879292),(0.220589;1.44499;2.387281),(0.01176179;-0.9965975;-0.074389;-0.03348752),(1;0.9999999;1),(0.1889821;1.442843;2.413305),(0.07492179;0.1276715;-0.9889734),54.3132247
,spaceTest,4,09-27-24,11:39:21,60.0710847,23.44339,5.879732,6.332314,(4.848857;4.848857;4.848857),177,18.92232,5.574131,7.917733,(5.572943;5.572943;5.572943),128,(0.8005679;-0.3236742;-3.747211),(-0.1390784;-0.04663566;-0.006557086;0.989161),(4.848857;4.848857;4.848856),(2.111717;1.022168;-3.179328),(-0.03530049;-0.1629221;-0.005832949;0.98599),(5.572943;5.572942;5.572942),(0.2209832;1.443561;2.385737),(0.01194326;-0.9973432;-0.06396245;-0.03275237),(1;1;1),(0.2189723;1.441584;2.413709),(0.06040042;0.1117795;-0.9918881),63.0323021
,spaceTest,13,09-27-24,11:39:26,65.0407379,24.44125,5.826342,7.541143,(5.765256;5.765256;5.765256),218,16.28583,5.619995,4.464708,(3.12413;3.12413;3.12413),148,(-0.8318213;0.2891436;-3.817032),(-0.09048039;0.08367848;0.007629651;0.9923472),(5.765256;5.765256;5.765257),(1.617591;0.9873098;-3.279223),(-0.03896519;-0.1203148;-0.004726089;0.9919596),(3.12413;3.12413;3.124129),(0.2222071;1.446576;2.388416),(0.01277744;-0.9957502;-0.07975327;-0.044245),(1;1;0.9999999),(0.1999338;1.44414;2.414493),(0.0721123;0.2174702;-0.9733984),68.250549
,spaceTest,15,09-27-24,11:39:32,70.8936704,18.42144,6.865956,6.886582,(5.954051;5.954051;5.954051),114,12.85052,5.337816,4.307943,(2.81885;2.81885;2.81885),40,(2.928182;1.647252;-4.322014),(0.0136341;-0.1904488;0.002645275;0.9815989),(5.954051;5.954051;5.954051),(1.434994;3.222204;-2.647962),(0.1632809;-0.1162344;0.01937574;0.979517),(2.81885;2.81885;2.81885),(0.2229516;1.446257;2.387114),(0.0126303;-0.9958383;-0.07851742;-0.04451631),(1;1;1),(0.2225412;1.443379;2.414909),(0.06829113;0.1095972;-0.9916175),73.8291853
,spaceTest,6,09-27-24,11:39:47,86.2644694,22.13796,3.140507,6.719972,(2.72208;2.72208;2.72208),272,24.07662,3.523379,4.436492,(2.046181;2.046181;2.046181),251,(-1.106626;1.846577;-0.7066144),(0.05844596;0.1999079;-0.01194667;0.9779971),(2.72208;2.722079;2.72208),(-1.312479;1.336432;-1.15294),(-0.01349663;0.2020477;0.002784665;0.9792787),(2.046181;2.046181;2.046181),(0.2143703;1.442786;2.38969),(0.01038384;-0.9980143;-0.06180463;0.006313933),(0.9999999;0.9999999;1),(0.2142405;1.442699;2.389744),(-0.01490474;0.1217852;-0.9924446),89.3768728
,spaceTest,8,09-27-24,11:39:54,92.9509466,8.983836,7.244091,4.529828,(3.970431;3.970431;3.970431),14,20.67764,6.841031,4.964823,(4.338426;4.338426;4.338426),276,(0.3549876;3.581836;-4.624579),(0.1473795;-0.01002676;0.001494132;0.9890281),(3.970431;3.970431;3.970431),(-2.445704;2.565698;-4.329195),(0.07559898;0.1867234;-0.0144131;0.9793934),(4.338426;4.338426;4.338426),(0.2127576;1.443554;2.389407),(0.02206758;-0.9972095;-0.07118254;0.00440082),(1;1;1),(0.2127796;1.441662;2.418511),(-0.3258275;0.1461591;-0.9340469),96.9149893
