User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,1,09-27-24,10:52:12,13.6897091,14.36858,4.335122,5.428484,(0.1268967;0.1268967;0.1268967),56,7.101123,7.742638,6.814308,(0.2776705;0.2776705;0.2776705),313,(22.36454;4.910661;23.40248),(0.07878488;-0.1016893;0.008078972;0.9916587),(0.1268967;0.1268967;0.1268967),(20.73373;4.94706;19.9972),(0.04761461;0.04724694;-0.002254728;0.9977452),(0.2776705;0.2776705;0.2776705),(21.46768;4.204048;27.72948),(0.01445446;-0.999872;-0.006848832;0.0005344613),(1;1;1),(21.46317;4.205907;27.75949),(0.005596948;0.02813344;-0.9995792),16.1641418
,officeTest,4,09-27-24,10:52:16,17.8971522,22.89365,5.962791,6.635367,(0.2243032;0.2243032;0.2243032),4,22.59854,6.418751,6.019238,(0.2185839;0.2185839;0.2185839),168,(21.67702;6.89187;21.85401),(0.2122512;-0.01705614;0.003705185;0.9770593),(0.2243032;0.2243032;0.2243033),(22.15096;1.789155;21.2564),(-0.176376;-0.0513689;-0.009217509;0.9829383),(0.2185839;0.2185839;0.2185839),(21.47146;4.206429;27.73971),(0.008554654;-0.9998405;-0.0143717;-0.006275924),(1;1;1),(21.45363;4.207805;27.76925),(-0.002224191;0.0296955;-0.9995556),20.9505514
,officeTest,11,09-27-24,10:52:25,26.5596736,20.94912,7.633591,4.188339,(0.1788568;0.1788568;0.1788568),114,12.53809,3.984564,6.953552,(0.1482295;0.1482295;0.1482295),111,(24.04194;3.783749;19.96274),(-0.02569063;-0.1597544;-0.004159034;0.9868137),(0.1788568;0.1788568;0.1788568),(22.2374;4.274116;23.70071),(0.007933342;-0.09486672;0.0007560439;0.9954581),(0.1482295;0.1482295;0.1482294),(21.46649;4.209058;27.70863),(0.01248277;-0.9988667;-0.04532226;0.007439394),(1;1;1),(21.46491;4.208486;27.73885),(0.003630474;0.02661417;-0.9996276),29.2802646
,officeTest,17,09-27-24,10:52:29,30.7819644,12.59878,4.733925,7.128622,(0.1805772;0.1805772;0.1805772),126,18.43868,4.155163,6.832088,(0.1562799;0.1562799;0.1562799),312,(22.42073;4.035927;22.9743),(-0.01821479;-0.09791614;-0.001792436;0.9950264),(0.1805773;0.1805773;0.1805773),(20.50556;5.503889;23.65719),(0.1479527;0.1154024;-0.01738557;0.9820846),(0.1562799;0.1562799;0.1562799),(21.47584;4.213461;27.72879),(0.006126319;-0.998901;-0.04561906;-0.00884341),(1;1;1),(21.47119;4.212908;27.75918),(0.004668619;0.01784614;-0.9998172),33.3800434
,officeTest,14,09-27-24,10:52:33,35.2221665,10.0308,3.127033,5.198981,(0.08624272;0.08624272;0.08624272),353,19.54308,7.840015,7.858967,(0.3413832;0.3413832;0.3413832),17,(21.44707;5.064994;24.67843),(0.1353069;0.004424201;-0.0006041871;0.9907937),(0.08624271;0.08624272;0.08624272),(22.33824;7.661814;20.21606),(0.2117232;-0.05584358;0.01211837;0.9756577),(0.3413832;0.3413832;0.3413832),(21.47439;4.213534;27.73761),(0.01872196;-0.9985605;-0.04911031;-0.01070923),(1;0.9999999;1),(21.44199;4.212078;27.7665),(-0.009580018;0.02843699;-0.9995384),40.1866263
,officeTest,7,09-27-24,10:52:44,45.7272539,15.4145,4.259573,7.790439,(0.1797358;0.1797358;0.1797358),334,24.26751,5.484669,7.876703,(0.2474356;0.2474356;0.2474356),12,(20.95506;5.693362;23.59208),(0.1695652;0.0615504;-0.0106115;0.9835378),(0.1797358;0.1797358;0.1797358),(21.95021;7.206677;22.52574),(0.2571358;-0.0441195;0.01175256;0.9652961),(0.2474356;0.2474356;0.2474356),(21.47412;4.213805;27.72303),(0.01491948;-0.9985123;-0.05229365;-0.004004991),(0.9999999;0.9999999;0.9999999),(21.48924;4.213008;27.75442),(0.006413036;0.0131263;-0.9998909),50.0036574
,officeTest,0,09-27-24,10:52:50,51.8109445,20.54813,7.355512,5.172031,(0.2122299;0.2122299;0.2122299),183,8.925354,2.791561,7.26529,(0.1072089;0.1072089;0.1072089),61,(20.61938;1.944903;20.12184),(-0.1471519;0.05955218;0.008876127;0.9872797),(0.2122299;0.2122299;0.2122299),(21.70929;4.587674;24.78368),(0.06237661;-0.03325536;0.002079563;0.9974964),(0.1072089;0.1072089;0.1072089),(21.52255;4.235641;27.58122),(-0.03624232;-0.99818;-0.02860888;0.0387911),(1;1;1),(21.54324;4.23432;27.61052),(-0.02129198;0.02515908;-0.999441),54.8020649
,officeTest,5,09-27-24,10:52:59,60.4215243,17.38851,4.310627,4.147571,(0.09787805;0.09787805;0.09787805),217,6.144528,7.491611,4.871297,(0.1917442;0.1917442;0.1917442),129,(20.85308;3.444421;23.30951),(-0.08889678;0.08050987;0.007209297;0.9927555),(0.09787805;0.09787805;0.09787805),(22.21796;4.408835;20.19142),(0.01073297;-0.0430873;0.0004629115;0.9990136),(0.1917441;0.1917441;0.1917442),(21.56936;4.24695;27.69661),(0.04957813;-0.9979556;-0.0403313;-0.0003094891),(0.9999999;0.9999999;1),(21.54373;4.244588;27.72634),(-0.0005050392;0.01703704;-0.9998499),63.986307
,officeTest,13,09-27-24,10:53:04,65.4863947,12.11853,7.065149,6.627123,(0.2501052;0.2501052;0.2501052),233,7.552979,3.965786,4.517276,(0.09440805;0.09440805;0.09440805),93,(20.21616;3.981239;20.6071),(-0.01827754;0.09464608;0.001737994;0.9953417),(0.2501052;0.2501052;0.2501052),(22.00086;4.623662;23.73891),(0.04711996;-0.0532053;0.002513395;0.9974681),(0.09440804;0.09440804;0.09440805),(21.57719;4.24654;27.69899),(0.01757316;-0.9985781;-0.04887716;0.01200602),(1;0.9999999;1),(21.57589;4.246125;27.73022),(-0.003929097;0.01838053;-0.999821),68.6498505
,officeTest,16,09-27-24,10:53:08,70.1610779,18.44177,7.962446,6.137726,(0.2690749;0.2690749;0.2690749),42,13.89539,2.357182,6.768994,(0.08584095;0.08584095;0.08584095),141,(23.27841;6.904744;19.926),(0.1596105;-0.1055339;0.01716404;0.9813728),(0.2690749;0.2690749;0.2690749),(21.95983;3.993904;25.31876),(-0.05158913;-0.07756004;-0.004018761;0.995644),(0.08584095;0.08584094;0.08584095),(21.58581;4.244868;27.70487),(0.01539831;-0.9990731;-0.04018844;0.0008037685),(1;1;1),(21.61594;4.245329;27.73652),(0.002139872;0.01419779;-0.9998849),72.5936307
