User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,5,09-26-24,03:08:35,15.1536001,21.08537,5.412211,5.389402,(3.735743;3.735743;3.735743),242,9.253502,6.720488,5.439618,(4.426082;4.426082;4.426082),332,(-1.396948;1.218672;-3.23477),(-0.02277171;0.1388184;0.0031929;0.9900509),(3.735743;3.735743;3.735743),(0.02958247;3.277407;-4.230683),(0.1327564;0.01260418;-0.001688366;0.9910671),(4.426082;4.426082;4.426082),(0.1966429;1.485365;2.336241),(-0.01070872;-0.9977699;-0.06142272;-0.02383138),(1;1;1),(0.1918134;1.483449;2.359805),(0.06373239;0.1012313;-0.9928066),27.2133273
,spaceTest,2,09-26-24,03:08:50,29.5013676,23.73594,7.18528,7.328037,(6.871382;6.871382;6.871382),109,6.893885,2.133246,6.269434,(1.609639;1.609639;1.609639),275,(3.414091;1.769664;-4.807127),(0.01727262;-0.210023;0.003711009;0.9775368),(6.871382;6.871382;6.871382),(0.01009288;1.919465;0.2469539),(0.09978776;0.04304088;-0.004320582;0.994068),(1.609639;1.609638;1.609639),(0.1921136;1.492366;2.34498),(-0.008418776;-0.9953668;-0.09430968;-0.01672923),(1;1;1),(0.1876925;1.488617;2.368608),(0.06473778;0.1003528;-0.9928407),39.8521464
,spaceTest,4,09-26-24,03:09:02,41.3475403,15.45075,3.011759,6.863976,(2.5624;2.5624;2.5624),81,5.626435,4.827936,6.315128,(3.660546;3.660546;3.660546),194,(1.288866;1.863551;-0.5784427),(0.0605234;-0.1783701;0.01099301;0.9820389),(2.5624;2.5624;2.562399),(0.5149938;1.447862;-2.516337),(-0.003295853;-0.03265342;-0.0001076789;0.9994613),(3.660546;3.660546;3.660546),(0.1983441;1.479858;2.324522),(-0.00517266;-0.9979925;-0.04444083;-0.04482477),(1;1;1),(0.2056167;1.478673;2.348592),(0.04511795;0.06886236;-0.9965931),46.4497711
,spaceTest,7,09-26-24,03:09:08,47.9484305,17.12774,2.122041,7.023975,(1.863332;1.863332;1.863332),214,9.735742,4.440904,5.316778,(2.862784;2.862784;2.862784),62,(-0.09339246;1.285087;0.1391363),(-0.04567434;0.06484962;0.002971338;0.9968448),(1.863332;1.863332;1.863332),(1.043929;2.515853;-1.972014),(0.1142558;-0.09679089;0.01118575;0.9886618),(2.862784;2.862784;2.862784),(0.1930958;1.488144;2.331715),(-0.006045254;-0.9967922;-0.07742545;-0.01934049),(1;1;0.9999999),(0.1571169;1.485862;2.353471),(0.07811502;0.1448973;-0.9863541),53.7458977
,spaceTest,17,09-26-24,03:09:15,55.2452194,24.36497,2.075188,5.722027,(1.557627;1.557627;1.557627),55,20.46916,2.973311,7.077387,(2.683408;2.683408;2.683408),207,(1.115605;2.550106;0.5524877),(0.2307794;-0.2278934;0.05569528;0.9443006),(1.557627;1.557627;1.557627),(-0.08170325;1.331673;-0.8059878),(-0.02640467;0.04347198;0.001149351;0.998705),(2.683408;2.683408;2.683408),(0.1936804;1.499373;2.351287),(-0.003283453;-0.9904989;-0.1322587;-0.03753396),(0.9999999;1;0.9999999),(0.1935879;1.499162;2.350849),(0.0746197;0.2597038;-0.962801),61.4975158
,spaceTest,10,09-26-24,03:09:23,62.9969356,23.54986,7.611735,6.535262,(6.483396;6.483396;6.483396),287,13.33013,7.992304,6.056081,(5.943571;5.943571;5.943571),173,(-2.277654;3.232048;-5.426455),(0.1051781;0.1535317;-0.01643759;0.9823927),(6.483396;6.483396;6.483396),(1.152506;0.4121066;-5.786873),(-0.06468164;-0.05855165;-0.003801742;0.9961795),(5.943571;5.943571;5.943571),(0.1983809;1.474242;2.301682),(-0.00118152;-0.9976894;-0.05080568;-0.04509345),(1;1;1),(0.2149694;1.4728;2.326826),(0.06058278;0.09082977;-0.9940116),69.1391995
,spaceTest,13,09-26-24,03:09:31,70.6600654,12.06436,4.366838,6.274214,(3.347599;3.347599;3.347599),249,21.60064,3.111216,7.374164,(2.947753;2.947753;2.947753),323,(-0.2754807;1.989271;-2.081411),(0.05583454;0.0533425;-0.002987287;0.9970096),(3.347599;3.347599;3.347599),(-0.2605259;3.048402;-0.5950187),(0.2390268;0.075384;-0.01861632;0.9679034),(2.947753;2.947753;2.947753),(0.198003;1.490685;2.330799),(-0.00378073;-0.9945666;-0.09379721;-0.04500158),(1;0.9999999;0.9999999),(0.21081;1.48588;2.353279),(0.06339033;0.136404;-0.9886217),76.1685554
,spaceTest,11,09-26-24,03:09:38,77.6683572,9.59502,7.990448,6.463171,(6.257913;6.257913;6.257913),207,18.23945,2.420783,4.329155,(1.318766;1.318766;1.318766),291,(0.2240587;1.672456;-5.771109),(0.01134801;-0.001670157;1.89542E-05;0.9999343),(6.257912;6.257913;6.257912),(-0.3412244;2.201924;-0.05647665),(0.1404932;0.1095447;-0.01564247;0.9838786),(1.318766;1.318766;1.318766),(0.1969947;1.488544;2.330576),(-0.01164414;-0.995461;-0.08540406;-0.04034684),(1;0.9999999;1),(0.1848676;1.485528;2.352959),(0.05674041;0.135647;-0.9891274),83.0765084
,spaceTest,6,09-26-24,03:09:45,84.6644281,12.35426,6.043793,6.567693,(4.854944;4.854944;4.854944),86,23.50768,3.998769,4.21423,(2.196335;2.196335;2.196335),43,(2.268871;1.732391;-3.517217),(0.02088856;-0.1696146;0.003595927;0.9852825),(4.854944;4.854944;4.854944),(1.894302;2.848788;-1.466534),(0.1565979;-0.2064767;0.03349761;0.9652577),(2.196335;2.196336;2.196335),(0.2018579;1.47017;2.308456),(-0.007142582;-0.9978832;-0.01632059;-0.06254443),(1;1;1),(0.1660207;1.472275;2.329342),(0.04845959;0.04448937;-0.9978322),90.1066345
,spaceTest,15,09-26-24,03:09:52,91.6065468,21.47965,6.349857,7.427303,(6.054481;6.054481;6.054481),87,8.149879,7.694717,5.949278,(5.525794;5.525794;5.525794),84,(3.375651;1.821764;-3.735108),(0.02526137;-0.2400693;0.006249422;0.9704069),(6.05448;6.054481;6.054481),(2.133962;1.81705;-5.226816),(0.02236059;-0.1255918;0.002831453;0.9918259),(5.525794;5.525794;5.525794),(0.1983995;1.466735;2.293414),(0.01026469;-0.9983214;-0.01338271;-0.05540685),(1;1;1),(0.1613817;1.468163;2.31539),(0.06606506;0.07203963;-0.9952015),96.692652
,spaceTest,8,09-26-24,03:09:58,98.1917194,20.03775,5.756965,6.946867,(5.085802;5.085802;5.085802),23,16.01357,4.670698,6.587664,(3.824603;3.824603;3.824603),84,(0.6525913;4.976923;-2.680548),(0.2966104;-0.04467917;0.01389347;0.9538517),(5.085802;5.085802;5.085802),(1.135313;2.929107;-2.201141),(0.1477094;-0.1021565;0.01534073;0.9836212),(3.824603;3.824604;3.824603),(0.1807873;1.501873;2.344653),(-0.02608493;-0.9881396;-0.1444716;0.04503046),(1;1;1),(0.1486679;1.497074;2.370739),(-0.1107808;0.1944179;-0.9746412),103.2120559
,spaceTest,12,09-26-24,03:10:05,104.7111919,15.45877,7.700705,4.96095,(4.736824;4.736824;4.736824),3,8.437202,4.061419,4.435963,(2.176746;2.176746;2.176746),90,(0.4527389;4.806139;-4.932719),(0.2124941;-0.01776662;0.003864206;0.9769932),(4.736824;4.736824;4.736824),(0.8266518;2.109385;-1.677561),(0.0757006;-0.07863829;0.005988859;0.9940068),(2.176746;2.176746;2.176746),(0.1884897;1.487612;2.330457),(-0.02009295;-0.9965979;-0.07987984;-0.002864384),(1;0.9999999;1),(0.208533;1.483843;2.353924),(0.0272893;0.069889;-0.9971735),111.11652
,spaceTest,0,09-26-24,03:10:13,112.6185231,5.949509,2.858407,5.978191,(2.052897;2.052897;2.052897),133,17.35385,5.61568,5.31158,(3.734461;3.734461;3.734461),50,(0.9153944;0.8675457;-0.4234075),(-0.1012694;-0.1241055;-0.01273355;0.9870057),(2.052896;2.052896;2.052897),(2.632242;1.746846;-3.054519),(0.02457736;-0.209987;0.005280362;0.977381),(3.734461;3.734461;3.734461),(0.2187452;1.451139;2.303005),(-0.04295203;-0.993059;0.06061361;-0.09118642),(1;1;1),(0.2072759;1.456754;2.325103),(0.04706869;0.08889323;-0.9949212),122.0919983
,spaceTest,9,09-26-24,03:10:24,123.7025935,7.967513,6.777479,6.179408,(5.052914;5.052914;5.052914),19,13.8112,4.297952,5.489592,(2.903365;2.903365;2.903365),256,(0.6104684;2.471092;-4.457643),(0.07353927;-0.03109649;0.002294144;0.9968048),(5.052914;5.052914;5.052913),(-0.7742068;1.293821;-2.017833),(-0.01942698;0.1094805;0.002140153;0.9937968),(2.903365;2.903365;2.903365),(0.1885171;1.466793;2.298645),(-0.005821951;-0.9999207;-0.008248377;-0.007539775),(1;1;1),(0.1858951;1.467965;2.322184),(0.08317532;0.08946262;-0.9924992),128.8444866
,spaceTest,14,09-26-24,03:10:31,130.3438073,9.374741,6.276064,7.492791,(5.693581;5.693581;5.693581),102,12.26037,2.950199,6.136323,(2.213585;2.213585;2.213585),318,(1.670728;1.032415;-3.871387),(-0.03359324;-0.117264;-0.003968946;0.9925245),(5.693582;5.693581;5.693581),(-0.009872586;1.844844;-0.6876153),(0.06341101;0.03361211;-0.002136893;0.9974191),(2.213585;2.213585;2.213585),(0.191739;1.462516;2.300339),(-0.004556781;-0.9991493;0.0163187;-0.03759893),(1;1;0.9999999),(0.2183687;1.464239;2.325174),(0.0661125;0.1062478;-0.9921241),134.9629894
,spaceTest,16,09-26-24,03:10:37,136.4743582,23.90961,3.265632,5.301705,(2.263174;2.263174;2.263174),266,14.36745,7.05008,5.484759,(4.769909;4.769909;4.769909),207,(-1.307864;1.839941;-0.909995),(0.04877565;0.2145917;-0.01073054;0.9754262),(2.263174;2.263174;2.263174),(-0.7508605;0.8597132;-4.874219),(-0.04281168;0.06452947;0.002770947;0.9969932),(4.76991;4.769909;4.76991),(0.1838403;1.483583;2.316189),(-0.003845664;-0.997613;-0.06854296;0.007442543),(1;1;1),(0.2136876;1.479895;2.337253),(0.08585677;0.1567505;-0.9838967),142.3161425
,spaceTest,1,09-26-24,03:10:44,143.9848698,19.1724,4.798182,7.783926,(4.723327;4.723327;4.723327),222,13.37085,7.156093,7.355568,(6.463282;6.463282;6.463282),293,(-0.22134;-0.1113851;-2.514292),(-0.1563948;0.043399;0.006878748;0.9867167),(4.723327;4.723327;4.723327),(-0.3195504;1.624912;-5.037025),(0.01123811;0.03553692;-0.0003996455;0.9993051),(6.463282;6.463282;6.463282),(0.2028018;1.459494;2.298012),(5.772149E-05;-0.9968296;0.0343316;-0.07177793),(1;1;1),(0.1957359;1.463673;2.321973),(0.03150468;0.07271829;-0.99685),148.5799412
,spaceTest,3,09-26-24,03:10:50,150.0792412,17.63452,5.240396,6.692356,(4.396673;4.396673;4.396673),218,23.55592,2.971156,7.198622,(2.787408;2.787408;2.787408),156,(-0.7709099;0.08133984;-2.933953),(-0.1263623;0.08972459;0.01147724;0.9878514),(4.396673;4.396673;4.396673),(0.7397444;0.211376;-0.6367171),(-0.196488;-0.09089354;-0.01829654;0.9761127),(2.787408;2.787408;2.787408),(0.187907;1.465463;2.300702),(-0.013845;-0.9998102;0.009440968;-0.009937229),(1;0.9999999;1),(0.1901901;1.467285;2.324306),(0.002087765;0.1353625;-0.9907828),154.9961417
