User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,14,09-23-24,09:28:51,15.9019284,9.428544,5.914267,7.911316,(0.2476524;0.2476524;0.2476524),264,13.38689,7.534909,7.985944,(0.3229588;0.3229588;0.3229588),68,(20.10792;4.142336;21.75923),(0.003172016;0.0884811;-0.00028177;0.9960728),(0.2476524;0.2476524;0.2476524),(22.71711;4.984656;20.12357),(0.05663966;-0.1012287;0.005772626;0.9932328),(0.3229588;0.3229588;0.3229588),(21.16468;4.104153;27.66049),(0.00500572;-0.9998827;-0.01278037;0.006797969),(0.9999999;1;1),(21.1633;4.108061;27.70464),(0.008099281;-0.01073904;-0.9999037),18.9023703
,officeTest,2,09-23-24,09:28:56,20.3996296,15.70545,6.650447,7.438469,(0.2683396;0.2683396;0.2683396),258,8.550434,5.649661,7.59262,(0.2265067;0.2265067;0.2265067),246,(19.19263;4.120195;21.04718),(0.0007938395;0.1441811;-0.0001156652;0.989551),(0.2683396;0.2683396;0.2683396),(20.2671;4.109776;22.02598),(5.80763E-05;0.07873214;-4.58671E-06;0.9968958),(0.2265067;0.2265067;0.2265067),(21.16392;4.109111;27.66831),(0.003791628;-0.9994475;-0.03120024;0.01081057),(1;1;1),(21.17255;4.111259;27.71241),(0.006071445;0.00292315;-0.9999644),23.1324581
,officeTest,6,09-23-24,09:29:00,24.6638458,13.62446,7.823971,4.509675,(0.1896651;0.1896651;0.1896651),130,5.655718,4.11551,4.050415,(0.08751508;0.08751508;0.08751508),63,(22.37003;3.337529;19.74784),(-0.04781955;-0.07543656;-0.003621842;0.9959968),(0.1896651;0.1896651;0.1896651),(21.39727;4.527327;23.56217),(0.05064582;-0.02843517;0.001442559;0.9983108),(0.08751507;0.08751508;0.08751508),(21.16307;4.108789;27.66991),(0.0003768573;-0.9994755;-0.0283535;0.01564575),(1;0.9999999;1),(21.16376;4.111423;27.71407),(0.008869223;-0.009479556;-0.9999059),27.2304125
,officeTest,4,09-23-24,09:29:04,28.7283344,5.198355,5.398251,5.735682,(0.1623968;0.1623968;0.1623968),254,20.00869,4.581121,4.119493,(0.104928;0.104928;0.104928),53,(20.57811;4.402774;22.29265),(0.02683478;0.05422735;-0.001457852;0.9981669),(0.1623968;0.1623968;0.1623968),(22.40087;5.474611;23.15877),(0.1399472;-0.1319173;0.01881611;0.9811517),(0.1049279;0.104928;0.104928),(21.16449;4.111532;27.67351),(-0.0002448833;-0.9991626;-0.03952061;0.01059704),(1;1;1),(21.17037;4.11303;27.71826),(0.006620722;0.01168273;-0.9998951),30.9938255
,officeTest,0,09-23-24,09:29:09,33.182735,9.717854,2.868616,4.958743,(0.07539042;0.07539042;0.07539042),226,8.574109,2.849396,4.606617,(0.06934737;0.06934737;0.06934737),154,(20.78252;4.074619;24.78908),(-0.00696517;0.06536416;0.0004562594;0.9978371),(0.07539043;0.07539042;0.07539042),(21.32477;4.033264;24.79847),(-0.0142212;-0.02823754;-0.0004017724;0.9995),(0.06934737;0.06934737;0.06934737),(21.16215;4.115248;27.67431),(0.00463481;-0.9985843;-0.05276521;0.00486227),(1;1;0.9999999),(21.16182;4.115551;27.71919),(-0.001297197;-0.002095774;-0.9999943),35.3716083
,officeTest,9,09-23-24,09:29:12,36.8698813,7.067306,7.189479,5.806296,(0.2197121;0.2197121;0.2197121),210,24.8455,2.385958,6.742321,(0.09258331;0.09258331;0.09258331),279,(20.81007;3.931553;20.43683),(-0.0124449;0.02463845;0.0003067401;0.9996189),(0.2197121;0.2197121;0.2197121),(20.10504;4.480076;25.29328),(0.06864236;0.2079979;-0.01463443;0.975608),(0.09258331;0.09258331;0.09258331),(21.16686;4.111909;27.67031),(5.98694E-06;-0.999141;-0.04098019;-0.006156048),(1;1;1),(21.1566;4.113604;27.71481),(0.009675944;-0.00311204;-0.9999386),39.0865246
,officeTest,11,09-23-24,09:29:17,41.9230398,21.93957,5.355057,6.56932,(0.1980737;0.1980737;0.1980737),115,11.91965,3.158798,4.344163,(0.07326921;0.07326921;0.07326921),225,(23.05435;3.530146;22.23218),(-0.04943701;-0.1665749;-0.008362468;0.9847532),(0.1980737;0.1980737;0.1980737),(20.65468;3.823184;24.48172),(-0.04406678;0.07953998;0.003519673;0.995851),(0.07326922;0.07326922;0.07326921),(21.16512;4.108342;27.65674),(0.002948286;-0.9995285;-0.02986265;0.006498599),(1;1;1),(21.13387;4.111402;27.7019),(0.01301491;-0.01348523;-0.9998223),44.0227188
,officeTest,16,09-23-24,09:29:21,45.521197,9.174957,3.314388,5.00695,(0.08781353;0.08781353;0.08781353),353,13.211,4.983929,6.17576,(0.165132;0.165132;0.165132),237,(21.05603;4.726306;24.34984),(0.09325662;0.01679531;-0.001573355;0.9954992),(0.08781353;0.08781353;0.08781353),(20.11664;3.604597;22.66128),(-0.04844956;0.1035407;0.005049668;0.9934317),(0.1651321;0.165132;0.165132),(21.16731;4.102758;27.64689),(-5.153113E-06;-0.9998785;-0.01394526;0.006963808),(1;1;1),(21.16328;4.106651;27.69094),(0.002756855;-0.01565675;-0.9998623),47.7322968
,officeTest,5,09-23-24,09:29:25,49.2305029,16.46039,5.989697,4.774171,(0.1557694;0.1557694;0.1557694),91,17.11322,7.314335,7.472752,(0.2986383;0.2986383;0.2986383),276,(22.89351;4.151577;21.64487),(0.003997759;-0.1393317;0.0005625063;0.9902375),(0.1557694;0.1557694;0.1557694),(18.87419;4.433377;20.35472),(0.02145852;0.1518652;-0.003297839;0.9881628),(0.2986383;0.2986382;0.2986383),(21.17009;4.101148;27.64784),(0.0002519284;-0.9999701;-0.006706744;0.00383811),(0.9999999;1;0.9999998),(21.16109;4.106009;27.69228),(0.00230313;0.00687024;-0.9999686),51.5183787
,officeTest,1,09-23-24,09:29:28,53.0178249,24.73931,7.395749,5.218133,(0.221966;0.221966;0.221966),73,5.592966,7.519167,7.896044,(0.3114863;0.3114863;0.3114863),137,(24.04379;5.464683;20.15588),(0.08240896;-0.181834;0.01529445;0.9797506),(0.221966;0.221966;0.221966),(21.29812;3.906274;20.09858),(-0.013115;-0.0089519;-0.000117419;0.9998739),(0.3114863;0.3114863;0.3114863),(21.1629;4.104436;27.64991),(0.005010674;-0.9994352;-0.02235953;0.02458004),(1;1;1),(21.13384;4.107975;27.69584),(0.0004076436;-0.005294774;-0.9999765),55.5048654
