User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,13,09-26-24,04:08:33,9.5805358,23.09455,7.706964,6.036865,(0.2641822;0.2641822;0.2641822),356,16.13165,5.590397,5.157697,(0.1567937;0.1567937;0.1567937),182,(20.85312;7.890621;20.10221),(0.2243498;0.03986148;-0.009184941;0.9736498),(0.2641822;0.2641822;0.2641822),(21.04954;2.893446;21.96078),(-0.1150168;0.03679365;0.004263126;0.9926727),(0.1567937;0.1567937;0.1567937),(21.46894;4.224153;27.61058),(-0.009573999;-0.9991998;-0.02495121;0.0297564),(0.9999999;1;0.9999999),(21.50077;4.226784;27.6409),(-0.01932228;0.0271344;-0.999438),12.1774097
,officeTest,16,09-26-24,04:08:40,16.8586138,9.174957,3.314388,5.00695,(0.08781353;0.08781353;0.08781353),353,13.211,4.983929,6.17576,(0.1651321;0.1651321;0.1651321),237,(21.30289;4.845525;24.30604),(0.0929196;0.02403048;-0.002243264;0.9953811),(0.08781353;0.08781353;0.08781353),(20.28657;3.756315;22.64091),(-0.04542796;0.1159562;0.005309063;0.9922007),(0.1651321;0.1651321;0.1651321),(21.4621;4.22412;27.60153),(-0.01862991;-0.9995896;-0.0129882;0.01746025),(1;1;1),(21.49325;4.226743;27.6324),(0.01076983;0.03067979;-0.9994631),19.2652094
,officeTest,2,09-26-24,04:08:44,20.7626918,15.70545,6.650447,7.438469,(0.2683396;0.2683396;0.2683396),258,8.550434,5.649661,7.59262,(0.2265068;0.2265068;0.2265068),246,(19.41282;3.995207;21.00649),(-0.01741684;0.1420856;0.002500442;0.989698),(0.2683396;0.2683396;0.2683396),(20.48192;3.989428;21.99119),(-0.02171984;0.07670319;0.001671303;0.996816),(0.2265068;0.2265068;0.2265068),(21.35515;4.238281;27.63173),(-0.01751144;-0.9997991;-0.0060002;0.007688636),(1;0.9999999;1),(21.37461;4.24191;27.6638),(-0.002744301;0.02199945;-0.9997414),22.6739024
,officeTest,12,09-26-24,04:08:47,24.1723119,16.80824,6.024502,7.167619,(0.2355623;0.2355623;0.2355623),92,18.91897,5.794,7.929056,(0.2535731;0.2535731;0.2535731),293,(23.1157;4.147714;21.59042),(-0.007127892;-0.1412281;-0.001016877;0.989951),(0.2355623;0.2355623;0.2355623),(19.51157;5.144163;21.86222),(0.07326502;0.1536637;-0.01142571;0.9853371),(0.2535731;0.2535731;0.2535731),(21.35605;4.238337;27.6321),(-0.02194116;-0.9997395;-0.00426075;0.004616018),(1;0.9999999;1),(21.3867;4.241567;27.66456),(0.002351748;0.01150495;-0.9999236),26.3715237
,officeTest,0,09-26-24,04:08:51,27.870992,9.717854,2.868616,4.958743,(0.07539042;0.07539042;0.07539042),226,8.574109,2.849396,4.606617,(0.06934732;0.06934732;0.06934732),154,(21.00781;3.937737;24.75866),(-0.05155852;0.06059447;0.003134112;0.9968251),(0.07539042;0.07539041;0.07539041),(21.54652;3.8661;24.78089),(-0.06463023;-0.03285646;-0.002129128;0.997366),(0.06934731;0.06934732;0.06934731),(21.35845;4.237999;27.63219),(-0.0246042;-0.9996836;-0.004120864;-0.003225475),(0.9999999;0.9999999;0.9999999),(21.38228;4.241764;27.66596),(0.01938643;0.0002106167;-0.999802),30.2152957
,officeTest,14,09-26-24,04:08:55,31.7134178,9.428544,5.914267,7.911316,(0.2476523;0.2476523;0.2476523),264,13.38689,7.534909,7.985944,(0.3229589;0.3229589;0.3229589),68,(20.38634;4.230889;21.7149),(-0.0005888006;0.08120909;4.797443E-05;0.9966969),(0.2476523;0.2476523;0.2476523),(23.06124;4.897099;20.10437),(0.04232473;-0.111014;0.004732206;0.9929059),(0.3229588;0.3229589;0.3229588),(21.35686;4.237972;27.63107),(-0.02296887;-0.9997267;-0.004296099;-0.0007391655),(1;0.9999999;1),(21.38258;4.240884;27.66367),(0.03157296;-0.08126555;-0.9961789),33.8803372
,officeTest,15,09-26-24,04:08:58,35.3788221,19.05622,7.850085,6.908645,(0.2996484;0.2996484;0.2996484),150,23.9293,2.909654,4.75827,(0.07912763;0.07912763;0.07912763),320,(22.65114;1.870848;19.77523),(-0.1435038;-0.08065661;-0.01173545;0.9862877),(0.2996484;0.2996484;0.2996484),(20.59986;5.284482;24.72125),(0.1654269;0.1253037;-0.0211949;0.9779999),(0.07912763;0.07912763;0.07912763),(21.35774;4.237548;27.63033),(-0.02515438;-0.9996725;-0.003073982;-0.003579254),(1;1;1),(21.37811;4.241321;27.66318),(0.004668507;0.006893351;-0.999954),37.3862982
,officeTest,9,09-26-24,04:09:02,38.9881087,7.067306,7.189479,5.806296,(0.2197121;0.2197121;0.2197121),210,24.8455,2.385958,6.742321,(0.09258328;0.09258328;0.09258328),279,(20.88096;3.476031;20.4433),(-0.05251566;0.03336405;0.001755539;0.9980611),(0.2197121;0.2197121;0.2197121),(20.3301;4.543159;25.23296),(0.05725032;0.2014024;-0.01179258;0.977763),(0.09258328;0.09258328;0.09258328),(21.3621;4.236306;27.63173),(-0.07153658;-0.9974174;0.003803817;-0.005162369),(1;0.9999999;1),(21.36652;4.240619;27.66284),(-0.004056131;0.007848523;-0.9999583),41.5869142
,officeTest,4,09-26-24,04:09:06,43.0864634,5.198355,5.398251,5.735682,(0.1623969;0.1623969;0.1623969),254,20.00869,4.581121,4.119493,(0.1049279;0.1049279;0.1049279),53,(21.10459;4.001689;22.21688),(-0.02133547;0.02448704;0.0005227183;0.9994723),(0.1623969;0.1623969;0.1623969),(22.97858;4.979735;23.08466),(0.07569816;-0.1689082;0.013012;0.9826345),(0.1049279;0.1049279;0.1049279),(21.36979;4.233006;27.626),(-0.04937766;-0.9984889;0.01223296;-0.02079016),(1;1;1),(21.39312;4.236432;27.65877),(0.00582245;0.009415587;-0.999927),45.0529329
,officeTest,6,09-26-24,04:09:10,46.7521927,13.62446,7.823971,4.509675,(0.1896651;0.1896651;0.1896651),130,5.655718,4.11551,4.050415,(0.08751504;0.08751504;0.08751504),63,(22.46;3.186632;19.72659),(-0.06536736;-0.0687408;-0.004513806;0.9954805),(0.1896651;0.1896651;0.1896651),(21.5969;4.536541;23.5139),(0.03593898;-0.0283505;0.001019958;0.9989513),(0.08751504;0.08751504;0.08751504),(21.36296;4.239352;27.63221),(-0.03405445;-0.9991344;-0.01607916;0.01767238),(1;1;1),(21.36501;4.243201;27.66469),(-0.01327327;0.009827353;-0.9998562),50.6483722
