User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,0,09-26-24,05:23:23,9.6539099,9.264398,5.649717,7.16287,(4.898439;4.898439;4.898439),274,21.40404,3.243759,6.67652,(2.779162;2.779162;2.779162),275,(-0.6013765;1.846261;-3.64452),(0.03519006;0.07521142;-0.002655876;0.9965429),(4.898439;4.89844;4.89844),(-0.9760109;1.739683;-1.244579),(0.04199015;0.1801977;-0.007699704;0.9827036),(2.779162;2.779162;2.779162),(0.2556551;1.442483;2.000926),(0.005858029;-0.9994869;-0.03096222;-0.005755175),(1;1;1),(0.2402357;1.445696;2.032558),(-0.06232943;0.0167267;-0.9979107),13.8721719
,spaceTest,13,09-26-24,05:23:29,15.4939041,24.44125,5.826342,7.541143,(5.765257;5.765257;5.765257),218,16.28583,5.619995,4.464708,(3.12413;3.12413;3.12413),148,(-1.363284;-0.2336882;-3.961195),(-0.1308716;0.130821;0.01742435;0.9825757),(5.765258;5.765257;5.765257),(1.133359;0.4567512;-3.703584),(-0.08414263;-0.07623395;-0.006456411;0.9935123),(3.12413;3.12413;3.12413),(0.2528234;1.44142;2.000384),(0.002541745;-0.9993632;-0.03559058;-0.0003899893),(1;1;1),(0.2519664;1.445276;2.032787),(0.1093471;0.09390195;-0.9895551),19.8699576
,spaceTest,17,09-26-24,05:23:36,22.3461298,17.96999,3.274787,5.465881,(2.248655;2.248655;2.248655),2,17.04663,3.170236,5.621331,(2.227373;2.227373;2.227373),68,(0.2297025;2.712397;-1.198975),(0.1879002;0.003444714;-0.0006590046;0.9821818),(2.248655;2.248655;2.248655),(1.104232;2.021744;-1.151055),(0.08704537;-0.1311339;0.01155946;0.9874682),(2.227373;2.227373;2.227373),(0.2521457;1.441655;2.000571),(0.006686003;-0.9994333;-0.03228531;0.006778228),(1;0.9999999;0.9999999),(0.2509779;1.445653;2.032043),(0.04160526;0.08699094;-0.9953382),26.4775858
,spaceTest,14,09-26-24,05:23:43,29.342959,6.990035,3.474663,6.570588,(2.748169;2.748169;2.748169),67,22.97203,4.853267,6.88367,(4.335124;4.335124;4.335124),267,(0.5935413;1.847961;-1.45968),(0.05797513;-0.04894621;0.002845878;0.9971133),(2.748169;2.748169;2.748169),(-1.869879;1.641864;-2.820115),(0.01853134;0.2058819;-0.003899522;0.9783936),(4.335124;4.335124;4.335124),(0.2529953;1.442252;2.000697),(0.005085842;-0.9993863;-0.03394004;0.007017612),(1;1;1),(0.2534275;1.446125;2.032052),(0.06565567;0.09133948;-0.9936389),33.0668032
,spaceTest,4,09-26-24,05:23:49,35.6066231,23.44339,5.879732,6.332314,(4.848856;4.848856;4.848856),177,18.92232,5.574131,7.917733,(5.572942;5.572942;5.572942),128,(0.4248424;-0.713818;-4.032439),(-0.1710917;-0.01361528;-0.002364556;0.9851582),(4.848856;4.848856;4.848856),(1.748334;0.6846926;-3.651083),(-0.06428327;-0.1283187;-0.008335331;0.9896123),(5.572943;5.572942;5.572942),(0.258104;1.447016;1.998737),(0.0187874;-0.9993051;-0.03185653;0.004630772),(0.9999999;1;1),(0.2568404;1.451059;2.030148),(0.05131795;0.1018745;-0.9934693),38.8946605
,spaceTest,16,09-26-24,05:23:55,41.6927546,16.58281,2.568332,7.156148,(2.290985;2.290985;2.290985),194,21.41802,2.5734,7.673613,(2.533874;2.533874;2.533874),316,(0.07625522;0.862356;-0.6110013),(-0.1083358;0.03409953;0.003718285;0.9935224),(2.290985;2.290985;2.290985),(-0.4105177;2.338287;-0.528284),(0.1633822;0.1267245;-0.02116678;0.9781611),(2.533874;2.533874;2.533874),(0.2556716;1.439909;1.999653),(-0.01008242;-0.9994605;-0.03104469;-0.003651504),(1;0.9999999;1),(0.2853075;1.44436;2.032534),(0.05033833;0.1044714;-0.9932377),45.80289
,spaceTest,7,09-26-24,05:24:01,48.2342685,13.24869,5.121621,4.991547,(3.138668;3.138668;3.138668),48,5.930946,7.641407,6.348019,(5.827;5.827;5.827),317,(1.119015;2.571756;-3.062955),(0.1077933;-0.08420459;0.009163202;0.9905586),(3.138669;3.138669;3.138668),(-0.3396131;2.527186;-5.580379),(0.07088185;0.03880451;-0.00275957;0.9967259),(5.827;5.826999;5.827),(0.251663;1.440003;2.00182),(-0.005590978;-0.9994374;-0.03284322;0.003887322),(1;1;1),(0.2520438;1.443991;2.032788),(0.05628334;0.09307968;-0.9940614),51.6548723
,spaceTest,5,09-26-24,05:24:07,54.2203675,9.506285,2.861339,6.098215,(2.113961;2.113961;2.113961),206,16.58575,4.326537,7.306915,(3.940587;3.940587;3.940587),165,(0.010337;1.206215;-0.8811906),(-0.04079919;0.04218289;0.001724002;0.998275),(2.113961;2.113961;2.113961),(0.5460031;0.504087;-2.406001),(-0.1045033;-0.03287117;-0.003455967;0.9939752),(3.940587;3.940587;3.940587),(0.254267;1.44296;2.000006),(0.008333065;-0.9993498;-0.03440392;0.006865503),(1;1;1),(0.2528767;1.446709;2.031276),(0.05705424;0.09167331;-0.9941372),57.8871495
,spaceTest,1,09-26-24,05:24:13,59.4289796,24.48926,5.973773,5.185618,(4.067856;4.067856;4.067856),30,22.05777,2.249538,5.678849,(1.647069;1.647069;1.647069),143,(1.433803;4.247655;-3.817496),(0.2177045;-0.09727836;0.02181247;0.9709098),(4.067856;4.067856;4.067856),(0.7866049;0.8907354;-0.302475),(-0.1141591;-0.1122073;-0.01297793;0.9870201),(1.647069;1.647069;1.647069),(0.2561691;1.444784;2.000338),(0.01601868;-0.9992445;-0.03437822;0.008489749),(1;1;1),(0.2536024;1.448646;2.031848),(0.06331074;0.09444913;-0.9935017),64.1049361
,spaceTest,15,09-26-24,05:24:20,67.2924545,18.42144,6.865956,6.886582,(5.95405;5.95405;5.95405),114,12.85052,5.337816,4.307943,(2.81885;2.81885;2.81885),40,(2.279534;0.8800908;-4.924272),(-0.03837711;-0.1418733;-0.005504548;0.9891253),(5.95405;5.95405;5.95405),(1.002548;2.665757;-3.283162),(0.1123039;-0.07010002;0.007942671;0.9911664),(2.81885;2.81885;2.81885),(0.2515087;1.440807;1.999872),(-0.004658524;-0.9995846;-0.02816932;0.003926589),(1;1;1),(0.2496666;1.445089;2.031175),(0.05864415;0.09475509;-0.9937578),70.86862
