User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,2,09-26-24,04:35:49,7.3810772,23.73594,7.18528,7.328037,(6.871382;6.871382;6.871382),109,6.893885,2.133246,6.269434,(1.609638;1.609638;1.609638),275,(3.890704;0.9806687;-4.671806),(-0.03390362;-0.2419664;-0.00846026;0.9696552),(6.871382;6.871382;6.871382),(0.1624961;1.689279;0.09806877),(0.0373444;0.01153587;-0.0004311295;0.9992358),(1.609638;1.609638;1.609638),(0.2119651;1.52889;2.240284),(0.003340165;-0.9982865;-0.03244011;-0.04858536),(0.9999999;0.9999999;0.9999999),(0.211213;1.530698;2.263117),(0.04968425;0.1071742;-0.9929965),10.3892872
,spaceTest,9,09-26-24,04:35:54,12.3446335,7.967513,6.777479,6.179408,(5.052914;5.052914;5.052914),19,13.8112,4.297952,5.489592,(2.903365;2.903365;2.903365),256,(1.188159;2.690731;-4.436457),(0.08521419;-0.07231412;0.00620116;0.9937156),(5.052913;5.052914;5.052914),(-0.3771417;1.435487;-2.149503),(-0.0101567;0.06669697;0.0006789679;0.9977214),(2.903365;2.903365;2.903365),(0.2118423;1.525589;2.236123),(0.003132836;-0.99855;-0.01961432;-0.05003526),(1;1;1),(0.2001055;1.527845;2.258319),(0.04550733;0.1032741;-0.9936038),15.8534916
,spaceTest,0,09-26-24,04:36:00,17.9663486,5.949509,2.858407,5.978191,(2.052896;2.052896;2.052896),133,17.35385,5.61568,5.31158,(3.73446;3.73446;3.73446),50,(0.7015538;1.427916;-0.5977749),(-0.01668998;-0.08503329;-0.001424564;0.9962373),(2.052896;2.052896;2.052896),(2.080805;2.859388;-3.184671),(0.1126508;-0.1640152;0.01885691;0.9798231),(3.73446;3.73446;3.73446),(0.2147774;1.524181;2.232951),(-5.946183E-05;-0.9987085;-0.01877175;-0.04721074),(1;1;1),(0.2133466;1.526735;2.255263),(0.04818977;0.1122505;-0.9925063),21.5066604
,spaceTest,13,09-26-24,04:36:05,23.2280381,12.06436,4.366838,6.274214,(3.347599;3.347599;3.347599),249,21.60064,3.111216,7.374164,(2.947753;2.947753;2.947753),323,(-0.1656114;1.35585;-2.210663),(-0.01893257;0.0427697;0.0008106278;0.9989052),(3.3476;3.347599;3.347599),(-0.1871694;2.625061;-0.8991817),(0.1663569;0.06299371;-0.0106499;0.9839938),(2.947753;2.947753;2.947753),(0.2158065;1.52506;2.235264),(0.003613151;-0.9982786;-0.0192342;-0.05528975),(1;1;1),(0.2128806;1.527724;2.258047),(0.06251705;0.09295487;-0.9937024),26.7042775
,spaceTest,16,09-26-24,04:36:10,28.2163179,23.90961,3.265632,5.301705,(2.263173;2.263173;2.263173),266,14.36745,7.05008,5.484759,(4.769909;4.769909;4.769909),207,(-0.8974316;1.546062;-1.163751),(0.003024779;0.1575416;-0.0004825568;0.9875076),(2.263173;2.263173;2.263173),(0.114032;0.1937155;-4.923308),(-0.09179224;0.006958561;0.0006414658;0.9957536),(4.769909;4.769909;4.76991),(0.2140294;1.524179;2.231041),(0.003645151;-0.9985533;-0.01982063;-0.04985068),(0.9999999;0.9999999;1),(0.1747834;1.524927;2.252509),(0.04944305;0.09685967;-0.9940571),31.5464998
,spaceTest,12,09-26-24,04:36:16,33.4787497,15.45877,7.700705,4.96095,(4.736825;4.736825;4.736825),3,8.437202,4.061419,4.435963,(2.176746;2.176746;2.176746),90,(0.7419995;3.923444;-5.372964),(0.1518949;-0.03456053;0.00531452;0.9877779),(4.736825;4.736825;4.736825),(1.041424;1.671045;-1.788915),(0.01794141;-0.1019032;0.001838156;0.9946308),(2.176746;2.176746;2.176746),(0.2093883;1.522969;2.229027),(0.003229847;-0.9994323;-0.01774393;-0.02846152),(1;0.9999999;1),(0.2104005;1.525579;2.251205),(0.05107304;0.1170759;-0.9917964),37.1605902
,spaceTest,6,09-26-24,04:36:21,38.6541035,12.35426,6.043793,6.567693,(4.854943;4.854943;4.854943),86,23.50768,3.998769,4.21423,(2.196335;2.196335;2.196335),43,(1.95403;1.92321;-3.691689),(0.0318525;-0.1424197;0.004585566;0.9892831),(4.854944;4.854943;4.854943),(1.680445;2.995678;-1.601974),(0.1682777;-0.1791486;0.0311168;0.9688241),(2.196335;2.196335;2.196335),(0.2124049;1.525206;2.231831),(-0.002558194;-0.9990396;-0.02617158;-0.03504835),(0.9999999;0.9999999;0.9999999),(0.2136854;1.528136;2.258078),(0.1037275;0.08125351;-0.9912757),42.6306173
,spaceTest,8,09-26-24,04:36:26,44.1424414,20.03775,5.756965,6.946867,(5.085802;5.085802;5.085802),23,16.01357,4.670698,6.587664,(3.824603;3.824603;3.824603),84,(1.62;3.801505;-3.280651),(0.1876125;-0.1219975;0.02349069;0.9743543),(5.085801;5.085802;5.085802),(2.001768;1.934798;-2.267705),(0.04135273;-0.1874461;0.007898541;0.9813722),(3.824603;3.824603;3.824603),(0.2171798;1.526008;2.23346),(-0.007814737;-0.998275;-0.03189867;-0.04866676),(0.9999999;0.9999999;1),(0.2231351;1.528136;2.257076),(0.05564086;0.09337154;-0.9940748),48.2609747
,spaceTest,3,09-26-24,04:36:32,49.7601725,17.63452,5.240396,6.692356,(4.396672;4.396672;4.396672),218,23.55592,2.971156,7.198622,(2.787408;2.787408;2.787408),156,(-0.2657467;0.5814639;-3.163818),(-0.08607181;0.04470167;0.003865807;0.9952781),(4.396672;4.396672;4.396672),(1.039981;0.5278349;-0.7413245),(-0.1543915;-0.1325395;-0.02090499;0.9788563),(2.787408;2.787408;2.787408),(0.2198831;1.525477;2.231526),(-0.009257406;-0.9980164;-0.03327985;-0.05263158),(1;1;1),(0.2170799;1.527357;2.254525),(0.05748406;0.11116;-0.9921305),53.5249809
,spaceTest,5,09-26-24,04:36:37,55.0247083,21.08537,5.412211,5.389402,(3.735743;3.735743;3.735743),242,9.253502,6.720488,5.439618,(4.426081;4.426081;4.426081),332,(-1.188037;0.8224723;-3.355973),(-0.06002949;0.1227893;0.007441016;0.9905877),(3.735743;3.735742;3.735743),(0.2820632;2.792741;-4.461445),(0.09365427;-0.004776701;0.0004493386;0.9955932),(4.426082;4.426081;4.426081),(0.2178729;1.52293;2.227895),(-0.01066217;-0.9988433;-0.02221541;-0.04129133),(1;1;0.9999999),(0.2161202;1.525348;2.250496),(0.04669519;0.1114537;-0.9926565),58.9472138
