User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,14,09-26-24,01:27:12,15.2527755,9.374741,6.276064,7.492791,(5.693582;5.693582;5.693582),102,12.26037,2.950199,6.136323,(2.213585;2.213585;2.213585),318,(1.654961;2.537453;-3.959091),(0.07579651;-0.1148306;0.008787681;0.9904502),(5.693582;5.693582;5.693582),(-0.03558448;2.563446;-0.6785057),(0.1667854;0.04363677;-0.007388813;0.9849994),(2.213585;2.213585;2.213585),(0.2165057;1.569537;2.161088),(0.01918973;-0.9950237;-0.09118913;-0.03527439),(1;0.9999999;1),(0.2152316;1.566269;2.189948),(0.06828058;0.1019177;-0.9924448),20.2381503
,spaceTest,2,09-26-24,01:27:37,40.5288674,23.73594,7.18528,7.328037,(6.871382;6.871382;6.871382),109,6.893885,2.133246,6.269434,(1.609638;1.609638;1.609638),275,(4.891929;2.09852;-4.132974),(0.03191517;-0.3124739;0.01050492;0.949332),(6.871384;6.871382;6.871383),(0.4879917;2.018481;0.08037414),(0.1044334;-0.0586878;0.00617354;0.9927796),(1.609639;1.609638;1.609638),(0.2403691;1.571355;2.167483),(0.02560587;-0.9873445;-0.09940173;-0.1208904),(1;1;1),(0.2318921;1.567178;2.195253),(0.07110935;0.1019969;-0.9922237),45.5933047
,spaceTest,13,09-26-24,01:27:45,47.9030253,12.06436,4.366838,6.274214,(3.347599;3.347599;3.347599),249,21.60064,3.111216,7.374164,(2.947753;2.947753;2.947753),323,(-0.3495701;2.046648;-2.239174),(0.05330057;0.06466208;-0.003458711;0.9964768),(3.347599;3.347599;3.347599),(-0.3284911;3.109694;-0.7556539),(0.2357149;0.09077076;-0.02211884;0.967321),(2.947753;2.947753;2.947753),(0.2242412;1.570304;2.163577),(0.006553997;-0.9950609;-0.09308135;-0.0338654),(1;0.9999999;1),(0.2405103;1.567209;2.193703),(0.06211491;0.09812681;-0.9932287),53.9781322
,spaceTest,9,09-26-24,01:27:52,55.621689,7.967513,6.777479,6.179408,(5.052912;5.052912;5.052912),19,13.8112,4.297952,5.489592,(2.903364;2.903364;2.903364),256,(1.003913;3.323245;-4.409794),(0.1295075;-0.05852822;0.007657803;0.98982),(5.052913;5.052913;5.052912),(-0.4853948;1.852865;-2.201648),(0.03270518;0.08059669;-0.002645967;0.9962066),(2.903364;2.903364;2.903365),(0.2245611;1.562575;2.157299),(0.005899166;-0.9972662;-0.0640692;-0.03633767),(0.9999999;1;1),(0.2171998;1.560707;2.185812),(0.058908;0.09862386;-0.9933697),61.5857972
,spaceTest,3,09-26-24,01:28:00,63.1630662,17.63452,5.240396,6.692356,(4.396672;4.396672;4.396672),218,23.55592,2.971156,7.198622,(2.787408;2.787408;2.787408),156,(-0.5820836;1.205612;-3.264396),(-0.03298473;0.07346578;0.002431152;0.9967492),(4.396672;4.396673;4.396672),(0.8811463;0.9421825;-0.9479678),(-0.09664834;-0.1036561;-0.01012087;0.9898546),(2.787408;2.787408;2.787408),(0.2223543;1.569149;2.163076),(0.006807071;-0.9957476;-0.08976242;-0.0195725),(1;1;1),(0.214549;1.565742;2.191815),(0.06034257;0.1039927;-0.9927371),69.8597244
,spaceTest,12,09-26-24,01:28:08,71.3590241,15.45877,7.700705,4.96095,(4.736825;4.736825;4.736825),3,8.437202,4.061419,4.435963,(2.176746;2.176746;2.176746),90,(0.7204015;4.68422;-5.181554),(0.1992047;-0.03294655;0.006701282;0.979381),(4.736825;4.736824;4.736825),(1.047137;2.101916;-1.829941),(0.06541523;-0.1011564;0.006665859;0.9926953),(2.176746;2.176746;2.176746),(0.2261185;1.563132;2.15675),(0.00602805;-0.9974419;-0.06570801;-0.02749393),(1;1;1),(0.2026253;1.560968;2.184829),(0.05349184;0.1037634;-0.9931549),76.689849
,spaceTest,10,09-26-24,01:28:15,78.2669834,23.54986,7.611735,6.535262,(6.483397;6.483397;6.483397),287,13.33013,7.992304,6.056081,(5.943571;5.943571;5.943571),173,(-2.749267;3.498565;-5.348977),(0.1152836;0.1861062;-0.02199396;0.975495),(6.483397;6.483397;6.483397),(0.7089845;0.7669089;-6.00206),(-0.04849974;-0.0296728;-0.001441456;0.9983813),(5.943571;5.943571;5.943572),(0.2234811;1.563037;2.158434),(0.007112306;-0.997648;-0.0666047;-0.01455382),(1;1;1),(0.2217026;1.561307;2.187558),(0.05456011;0.1002488;-0.9934514),83.8088118
,spaceTest,15,09-26-24,01:28:22,85.4302616,21.47965,6.349857,7.427303,(6.054482;6.054482;6.054482),87,8.149879,7.694717,5.949278,(5.525795;5.525795;5.525795),84,(3.042073;2.77155;-3.941639),(0.0865816;-0.213518;0.01900149;0.9729094),(6.054482;6.054481;6.054482),(1.71293;2.982827;-5.34012),(0.09104663;-0.09710163;0.008920515;0.9910612),(5.525795;5.525795;5.525795),(0.2294656;1.566562;2.157648),(0.002518557;-0.996058;-0.08487446;-0.02566238),(1;1;1),(0.2387928;1.563681;2.186977),(0.05735369;0.1136924;-0.9918517),90.4835093
,spaceTest,6,09-26-24,01:28:29,91.9830501,12.35426,6.043793,6.567693,(4.854944;4.854944;4.854944),86,23.50768,3.998769,4.21423,(2.196336;2.196336;2.196336),43,(1.588734;2.604984;-3.790178),(0.08373503;-0.1118144;0.009455924;0.9901498),(4.854944;4.854945;4.854944),(1.470452;3.440114;-1.580989),(0.2174758;-0.1558324;0.03519542;0.9629028),(2.196336;2.196336;2.196336),(0.2285547;1.565959;2.155418),(-0.01240742;-0.9965967;-0.08146568;-0.002124799),(1;1;1),(0.2322926;1.56323;2.184831),(0.05479772;0.1049784;-0.9929597),95.7700135
,spaceTest,5,09-26-24,01:28:43,106.1210044,21.08537,5.412211,5.389402,(3.735743;3.735743;3.735743),242,9.253502,6.720488,5.439618,(4.426082;4.426082;4.426082),332,(-1.252016;1.663677;-3.444436),(0.008040894;0.1294242;-0.001049548;0.9915562),(3.735743;3.735743;3.735743),(0.1588361;3.807056;-4.269445),(0.1666251;0.00596774;-0.001008492;0.9860018),(4.426082;4.426082;4.426081),(0.2366799;1.569605;2.161074),(-0.003228882;-0.9948567;-0.09598089;-0.03221058),(1;1;1),(0.235476;1.56588;2.1896),(0.06554728;0.1042736;-0.9923795),112.0513323
