User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,5,09-26-24,11:50:02,11.0559634,16.46039,5.989697,4.774171,(0.1557694;0.1557694;0.1557694),91,17.11322,7.314335,7.472752,(0.2986383;0.2986383;0.2986383),276,(23.03141;4.437893;21.77176),(0.01153709;-0.1323172;0.001540203;0.9911391),(0.1557694;0.1557694;0.1557694),(18.9927;4.714503;20.54246),(0.02722888;0.1590526;-0.004388377;0.9868848),(0.2986382;0.2986382;0.2986383),(21.39346;4.292511;27.79707),(0.003094055;-0.9998406;-0.01379094;0.01091388),(1;1;1),(21.39556;4.296344;27.82017),(-0.006322051;-0.01700501;-0.9998339),14.3741558
,officeTest,13,09-26-24,11:50:07,15.9510225,23.09455,7.706964,6.036865,(0.2641823;0.2641823;0.2641823),356,16.13165,5.590397,5.157697,(0.1567937;0.1567937;0.1567937),182,(21.30785;7.78951;20.19196),(0.2142402;0.004940212;-0.001083565;0.976768),(0.2641823;0.2641823;0.2641823),(21.37803;2.83295;22.16482),(-0.1255641;0.000597621;7.563841E-05;0.9920853),(0.1567937;0.1567937;0.1567937),(21.38482;4.282834;27.80085),(-0.007708478;-0.9998403;-0.01474635;-0.006526097),(1;1;1),(21.38466;4.286607;27.82343),(-0.02098065;-0.02694819;-0.9994083),20.6155882
,officeTest,9,09-26-24,11:50:16,25.491342,7.067306,7.189479,5.806296,(0.2197121;0.2197121;0.2197121),210,24.8455,2.385958,6.742321,(0.09258331;0.09258331;0.09258331),279,(20.80002;4.211019;20.58648),(-0.005350301;0.04020375;0.0002152793;0.9991772),(0.2197121;0.2197121;0.2197121),(20.24667;4.690092;25.46985),(0.0746249;0.223515;-0.01716579;0.971688),(0.09258331;0.0925833;0.0925833),(21.38204;4.288601;27.80716),(-0.0005724994;-0.9987987;-0.04808485;0.009417051),(1;1;1),(21.37752;4.290124;27.83029),(0.001320397;-0.003801033;-0.9999883),28.8887941
,officeTest,10,09-26-24,11:50:24,33.0875681,24.82175,5.933174,4.243143,(0.1449116;0.1449116;0.1449116),172,14.8827,7.912401,5.918235,(0.2530796;0.2530796;0.2530796),80,(21.47711;2.093113;21.64897),(-0.170328;-0.007402122;-0.001279523;0.9853588),(0.1449116;0.1449116;0.1449116),(23.13853;5.312665;19.87505),(0.06235971;-0.1083945;0.006813093;0.9921268),(0.2530796;0.2530796;0.2530796),(21.3846;4.287529;27.80603),(-0.007958555;-0.9988065;-0.04352893;0.02067598),(0.9999999;1;1),(21.38176;4.28958;27.82932),(-0.006305788;-0.02089515;-0.9997566),36.2526645
,officeTest,6,09-26-24,11:50:29,37.7472046,13.62446,7.823971,4.509675,(0.1896651;0.1896651;0.1896651),130,5.655718,4.11551,4.050415,(0.08751506;0.08751506;0.08751506),63,(22.52818;3.688011;19.86168),(-0.03713609;-0.07128503;-0.00265585;0.9967609),(0.1896651;0.1896651;0.1896651),(21.60339;4.802458;23.71055),(0.06241256;-0.0264803;0.001656517;0.9976977),(0.08751505;0.08751506;0.08751506),(21.38572;4.287052;27.80817),(-0.009755403;-0.998945;-0.04087235;0.01852661),(1;0.9999999;1),(21.38598;4.289253;27.83148),(-0.006380271;0.006896861;-0.99995),40.4846692
,officeTest,7,09-26-24,11:50:33,41.9841891,21.2914,3.657076,4.386314,(0.08994172;0.08994172;0.08994172),265,16.76349,5.171298,7.955666,(0.2243457;0.2243457;0.2243457),174,(19.85516;4.518664;24.20249),(0.02885681;0.1994107;-0.00587495;0.9794734),(0.08994171;0.08994173;0.08994172),(21.35545;3.198391;22.51903),(-0.1013583;0.002972653;0.0003028643;0.9948455),(0.2243457;0.2243457;0.2243457),(21.38706;4.287593;27.80878),(-0.01178906;-0.9988374;-0.04406716;0.01559196),(1;1;1),(21.40089;4.289585;27.83185),(-0.02060254;-0.02542548;-0.9994489),45.4808856
,officeTest,3,09-26-24,11:50:38,47.0696167,19.75688,7.812514,5.119161,(0.2219852;0.2219852;0.2219852),279,13.94308,3.936024,4.043941,(0.08568243;0.08568243;0.08568243),45,(18.34601;5.155241;20.13132),(0.0515742;0.1867729;-0.009819238;0.9809993),(0.2219852;0.2219852;0.2219852),(21.93604;5.202164;23.89815),(0.1135553;-0.07015155;0.008038267;0.9910194),(0.08568243;0.08568242;0.08568243),(21.37955;4.284811;27.80916),(0.001859222;-0.9994507;-0.02853551;0.01675026),(1;0.9999999;1),(21.41067;4.287996;27.8313),(0.00154946;0.003950339;-0.9999872),49.5162432
,officeTest,0,09-26-24,11:50:57,65.851505,9.717854,2.868616,4.958743,(0.0753905;0.0753905;0.0753905),226,8.574109,2.849396,4.606617,(0.06934734;0.06934734;0.06934734),154,(20.8902;3.924316;24.95354),(-0.06080592;0.0853763;0.005220212;0.9944779),(0.0753905;0.0753905;0.0753905),(21.43204;3.877477;24.94689),(-0.0698192;-0.008650286;-0.0006054564;0.997522),(0.06934734;0.06934734;0.06934734),(21.38256;4.278893;27.79997),(-0.001841462;-0.9997048;0.002602062;0.02408657),(1;1;1),(21.38965;4.283396;27.82242),(0.003875792;-0.007792143;-0.9999473),67.9507249
,officeTest,16,09-26-24,11:51:00,69.4543355,9.174957,3.314388,5.00695,(0.08781356;0.08781356;0.08781356),353,13.211,4.983929,6.17576,(0.1651321;0.1651321;0.1651321),237,(21.20036;4.908487;24.50552),(0.09379604;0.02770202;-0.002610866;0.9952025),(0.08781356;0.08781357;0.08781356),(20.21216;3.796139;22.83876),(-0.04711047;0.1155984;0.00548891;0.9921631),(0.1651321;0.1651321;0.1651321),(21.38383;4.281212;27.79863),(-0.004363572;-0.9997135;-0.0143512;0.0186537),(1;0.9999999;1),(21.38009;4.28425;27.82231),(0.005829249;-0.01709777;-0.9998341),72.1481794
,officeTest,8,09-26-24,11:51:05,73.980976,22.33491,7.892748,7.63684,(0.340267;0.340267;0.340267),11,14.7832,2.721354,4.923045,(0.07238282;0.07238282;0.07238282),143,(21.86605;7.822257;20.05034),(0.2121358;-0.03042483;0.006607866;0.9767441),(0.340267;0.340267;0.340267),(21.74914;3.831706;25.04557),(-0.08021282;-0.06585871;-0.005311472;0.9945855),(0.07238282;0.07238282;0.07238282),(21.38282;4.282752;27.79946),(-0.005460917;-0.9996562;-0.02316259;0.0110069),(1;1;1),(21.3879;4.285333;27.82284),(0.003374988;-0.02580928;-0.9996569),76.2119727
