User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,16,09-27-24,10:49:40,13.0960263,17.68854,2.655233,4.77133,(1.589187;1.589187;1.589187),274,6.338036,5.710669,4.047477,(2.779511;2.779511;2.779511),236,(-0.3674176;1.941496;-0.3608329),(0.08850577;0.1229086;-0.01100576;0.9884023),(1.589187;1.589187;1.589187),(0.1631613;2.064789;-3.412369),(0.05389114;0.01233658;-0.0006658509;0.9984704),(2.779511;2.779511;2.779511),(0.3042989;1.446347;2.298297),(0.01380572;-0.9956551;-0.08563958;-0.03385695),(1;1;1),(0.2990059;1.443446;2.32851),(0.06506518;0.1221248;-0.9903796),18.2700373
,spaceTest,2,09-27-24,10:49:47,19.9360835,8.735838,2.088474,6.079487,(1.534916;1.534916;1.534916),4,16.51302,5.481374,4.330839,(2.959204;2.959204;2.959204),263,(0.4137452;2.083556;0.2906543),(0.1527754;-0.02821795;0.004364039;0.9878484),(1.534916;1.534916;1.534916),(-1.035715;2.055746;-3.22399),(0.05309241;0.1180386;-0.006320241;0.9915685),(2.959204;2.959204;2.959204),(0.2987635;1.445256;2.301641),(0.01374493;-0.9966131;-0.07688755;-0.02572426),(1;1;1),(0.3288648;1.442983;2.334657),(0.06975834;0.1091703;-0.9915591),24.0511892
,spaceTest,0,09-27-24,10:49:53,26.355787,22.21744,5.552905,4.873508,(3.493488;3.493488;3.493488),10,19.4617,7.114417,7.926785,(7.144393;7.144393;7.144393),134,(1.181048;4.381518;-2.863938),(0.2522407;-0.08092193;0.02117314;0.9640425),(3.493488;3.493488;3.493488),(2.847545;0.6571851;-4.769648),(-0.05141884;-0.1714346;-0.00896001;0.983812),(7.144394;7.144394;7.144393),(0.3092459;1.44377;2.292465),(0.01032757;-0.9966497;-0.06430898;-0.04946743),(1;1;0.9999999),(0.3044078;1.442114;2.322412),(0.05120036;0.1184853;-0.9916338),30.2867116
,spaceTest,6,09-27-24,10:49:58,31.7867863,6.960304,2.02652,6.71222,(1.637215;1.637215;1.637215),150,12.12079,3.695855,4.496811,(2.031533;2.031533;2.031533),321,(0.5604416;1.441309;0.2655763),(0.0002723852;-0.06425216;1.753758E-05;0.9979337),(1.637215;1.637215;1.637215),(0.002804518;2.411953;-1.350802),(0.1295225;0.04018169;-0.005253032;0.9907481),(2.031533;2.031533;2.031533),(0.2986336;1.440194;2.290285),(0.02346923;-0.9978939;-0.05081626;-0.03278378),(1;1;1),(0.295927;1.439521;2.320492),(0.06575944;0.1114721;-0.9915864),35.2290948
,spaceTest,8,09-27-24,10:50:03,36.7284441,9.814932,7.093576,7.517087,(6.464447;6.464447;6.464447),212,15.25105,6.553948,6.744073,(5.473557;5.473557;5.473557),65,(0.1982743;1.395402;-4.904002),(-0.003370492;0.007066541;2.381845E-05;0.9999694),(6.464447;6.464447;6.464447),(2.364283;3.14659;-3.94991),(0.1247267;-0.1576943;0.02008294;0.9793735),(5.473557;5.473557;5.473557),(0.3000133;1.443931;2.294059),(0.01349423;-0.996767;-0.06990918;-0.03723114),(1;1;1),(0.2985287;1.441816;2.324347),(0.06741899;0.1073472;-0.9919194),39.7778331
,spaceTest,4,09-27-24,10:50:08,41.282181,8.784761,4.91863,4.929632,(2.932069;2.932069;2.932069),54,18.79319,7.802969,5.905461,(5.816201;5.816201;5.816201),262,(0.8346529;2.728669;-2.483248),(0.1299325;-0.05642902;0.007406862;0.9898881),(2.932069;2.932069;2.932069),(-2.369241;2.177162;-5.473715),(0.04390186;0.1639087;-0.007301985;0.9854711),(5.816201;5.816201;5.816201),(0.2882161;1.444234;2.294024),(0.03380394;-0.9960582;-0.08200326;0.00100137),(1;1;1),(0.2833518;1.441291;2.324169),(0.06851846;0.09931874;-0.992689),45.0131887
,spaceTest,14,09-27-24,10:50:13,46.512752,12.96286,4.013314,5.977804,(2.9416;2.9416;2.9416),41,11.50341,4.290336,7.523019,(3.934672;3.934672;3.934672),277,(1.13678;2.830853;-1.491464),(0.1696852;-0.1067585;0.01849402;0.9795241),(2.9416;2.9416;2.9416),(-0.2963896;2.266718;-1.963085),(0.09396257;0.06935014;-0.006561356;0.9931358),(3.934671;3.934672;3.934672),(0.3013123;1.445592;2.295772),(0.01287875;-0.9957219;-0.08544873;-0.03271998),(1;1;1),(0.2993798;1.442414;2.326096),(0.0656318;0.10917;-0.9918476),49.9776887
,spaceTest,5,09-27-24,10:50:21,54.0612573,11.44204,7.356901,7.063948,(6.334464;6.334464;6.334464),267,9.674532,3.986439,4.487504,(2.168823;2.168823;2.168823),131,(-1.058079;2.429911;-5.029276),(0.0654869;0.0910494;-0.006000509;0.9936727),(6.334464;6.334464;6.334465),(0.8991384;1.644661;-1.705486),(0.02464522;-0.07507349;0.001856009;0.9968717),(2.168823;2.168823;2.168823),(0.2942209;1.44483;2.287969),(0.02531515;-0.9966446;-0.07709614;-0.0107128),(0.9999999;1;0.9999999),(0.293583;1.442103;2.318763),(0.05899291;0.0995069;-0.993285),57.7853735
,spaceTest,9,09-27-24,10:50:26,59.8068034,23.91896,5.721399,5.470851,(4.091793;4.091793;4.091793),115,8.17873,4.250615,5.393054,(2.767518;2.767518;2.767518),179,(3.060907;1.531343;-3.317508),(0.006437162;-0.2271635;0.001501578;0.9738343),(4.091793;4.091793;4.091793),(0.6497602;1.648208;-1.979762),(0.02322694;-0.0417443;0.0009707011;0.9988579),(2.767518;2.767518;2.767518),(0.2918389;1.448602;2.29493),(0.01689701;-0.9946536;-0.09382247;-0.03969999),(1;1;1),(0.2656351;1.443903;2.322488),(0.0558393;0.1025318;-0.9931446),63.5162973
,spaceTest,7,09-27-24,10:50:32,65.0181789,12.37405,5.341115,5.531748,(3.614583;3.614583;3.614583),223,24.49738,2.441741,7.793399,(2.497954;2.497954;2.497954),279,(-0.1121771;1.411705;-3.16072),(-0.003200607;0.03643486;0.0001166917;0.9993309),(3.614583;3.614583;3.614583),(-0.6610262;1.952201;-0.1664063),(0.09301915;0.1819454;-0.01729193;0.9787463),(2.497954;2.497954;2.497954),(0.2860143;1.446731;2.292794),(0.02768846;-0.9958932;-0.07890408;-0.03470419),(1;0.9999999;1),(0.274992;1.442845;2.322411),(0.05841506;0.1131892;-0.9918538),68.7713577
