User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,6,09-26-24,01:30:32,11.361988,15.69787,5.666652,6.018384,(0.1850317;0.1850317;0.1850317),278,19.62535,4.171695,6.406139,(0.1481851;0.1481851;0.1481851),110,(19.62132;4.970479;21.98738),(0.05490261;0.1565949;-0.008718683;0.9860972),(0.1850316;0.1850316;0.1850317),(22.63282;4.052829;23.29409),(-0.02956173;-0.1368587;-0.004086064;0.990141),(0.1481851;0.1481851;0.1481851),(21.43355;4.317057;27.54942),(-0.01544992;-0.9990659;-0.03375345;0.02212515),(1;1;1),(21.41881;4.318183;27.58021),(0.006391909;0.008176439;-0.9999399),14.7030619
,officeTest,15,09-26-24,01:30:37,16.202817,9.203587,3.78316,5.134215,(0.1027878;0.1027878;0.1027878),83,13.30418,7.23404,5.5444,(0.215284;0.215284;0.215284),260,(22.13669;4.598157;23.79513),(0.03632631;-0.09051272;0.003303761;0.9952271),(0.1027878;0.1027878;0.1027878),(19.89847;4.573937;20.28876),(0.01707236;0.1047908;-0.001799198;0.9943461),(0.215284;0.215284;0.215284),(21.44714;4.318753;27.55472),(-0.02768067;-0.9990638;-0.03187672;-0.009447382),(1;0.9999999;1),(21.41809;4.320769;27.58353),(-8.011982E-05;0.01649556;-0.9998578),18.2574585
,officeTest,1,09-26-24,01:30:48,27.7970296,14.36858,4.335122,5.428484,(0.1268967;0.1268967;0.1268967),56,7.101123,7.742638,6.814308,(0.2776705;0.2776705;0.2776705),313,(22.23501;4.532725;23.15486),(0.02530107;-0.08882136;0.002256927;0.9957237),(0.1268967;0.1268967;0.1268968),(20.48932;4.38364;19.81015),(0.005001276;0.06129239;-0.0003071214;0.9981073),(0.2776705;0.2776705;0.2776705),(21.44395;4.305449;27.55362),(-0.02520502;-0.9987291;0.04008342;0.01726969),(1;1;1),(21.4445;4.311004;27.58227),(-0.00172179;0.008423321;-0.9999583),30.2069591
,officeTest,14,09-26-24,01:30:54,33.7065491,10.0308,3.127033,5.198981,(0.08624271;0.08624271;0.08624271),353,19.54308,7.840015,7.858967,(0.3413832;0.3413832;0.3413832),17,(21.20642;5.143517;24.50229),(0.1301789;0.03608622;-0.004741177;0.9908223),(0.08624271;0.08624271;0.08624271),(21.86868;7.651011;19.94988),(0.2042288;-0.02819817;0.005885421;0.9784993),(0.3413831;0.3413832;0.3413832),(21.42959;4.323234;27.56196),(-0.005622935;-0.9986878;-0.04352925;0.02638771),(1;1;1),(21.43262;4.323341;27.5911),(-0.003981974;0.01562792;-0.9998565),36.4818307
,officeTest,12,09-26-24,01:30:59,38.5145998,22.52719,3.5995,6.490871,(0.1321034;0.1321034;0.1321034),317,14.56831,6.045464,6.246094,(0.203773;0.203773;0.203773),241,(20.31545;5.740217;24.11479),(0.1826375;0.1530733;-0.02879888;0.970764),(0.1321034;0.1321034;0.1321034),(19.82344;4.109185;21.53741),(-0.01705659;0.1299677;0.002236106;0.991369),(0.203773;0.203773;0.203773),(21.43258;4.324058;27.56905),(-0.01243019;-0.9988637;-0.04215693;0.01842949),(1;0.9999999;1),(21.43263;4.324363;27.59848),(-0.007954553;0.01530559;-0.9998448),41.2688083
,officeTest,3,09-26-24,01:31:07,46.4001209,10.66576,2.477874,7.748291,(0.1020126;0.1020126;0.1020126),125,15.72553,7.490978,5.636563,(0.2291269;0.2291269;0.2291269),17,(22.17436;3.914832;25.17567),(-0.07799521;-0.1454784;-0.01150521;0.9862152),(0.1020126;0.1020126;0.1020126),(23.17531;5.946835;20.14822),(0.1049949;-0.1131297;0.01202299;0.9879439),(0.2291269;0.2291269;0.2291269),(21.45537;4.311171;27.5597),(-0.01247577;-0.9971369;0.02356334;-0.07076209),(1;1;1),(21.45;4.315361;27.58895),(0.5584818;-0.1244367;-0.8201262),49.0941495
,officeTest,4,09-26-24,01:31:11,50.5978097,22.89365,5.962791,6.635367,(0.2243033;0.2243033;0.2243033),4,22.59854,6.418751,6.019238,(0.2185839;0.2185839;0.2185839),168,(20.77777;6.918443;21.65118),(0.2058022;0.05278782;-0.0111184;0.9771056),(0.2243033;0.2243033;0.2243033),(21.17818;1.809184;21.05569),(-0.1827279;0.01801109;0.003348071;0.9829928),(0.2185839;0.2185839;0.2185839),(21.41586;4.307667;27.53946),(0.008660795;-0.997825;-0.008665632;0.06477036),(1;1;1),(21.41947;4.310272;27.56899),(-0.004371688;-4.238449E-05;-0.9999798),52.7076267
,officeTest,16,09-26-24,01:31:16,55.6400591,18.44177,7.962446,6.137726,(0.269075;0.269075;0.269075),42,13.89539,2.357182,6.768994,(0.08584102;0.08584102;0.08584102),141,(23.02876;6.814338;19.68655),(0.1498519;-0.09871913;0.01503909;0.9836528),(0.269075;0.2690749;0.269075),(21.7348;4.021992;25.14751),(-0.06032287;-0.06188485;-0.003747118;0.9962517),(0.08584102;0.08584102;0.08584102),(21.43648;4.314977;27.53948),(-0.006356384;-0.9992906;-0.03459935;0.01344905),(1;1;1),(21.46493;4.315758;27.5677),(-0.006106507;0.02187178;-0.9997349),58.1164103
,officeTest,11,09-26-24,01:31:27,65.9686728,20.94912,7.633591,4.188339,(0.1788567;0.1788567;0.1788567),114,12.53809,3.984564,6.953552,(0.1482294;0.1482294;0.1482294),111,(23.80984;3.739334;19.74114),(-0.03488586;-0.1473072;-0.005198925;0.9884617),(0.1788568;0.1788568;0.1788567),(22.10952;4.318797;23.51504),(0.0003926575;-0.08322521;3.279277E-05;0.9965307),(0.1482294;0.1482294;0.1482294),(21.43244;4.31558;27.54041),(-0.002610373;-0.9990025;-0.04049806;0.01863074),(1;1;1),(21.43244;4.31558;27.54041),(-0.03701289;0.0810126;-0.9960256),67.7680777
,officeTest,13,09-26-24,01:31:30,69.2658698,12.11853,7.065149,6.627123,(0.2501053;0.2501053;0.2501053),233,7.552979,3.965786,4.517276,(0.09440803;0.09440803;0.09440803),93,(19.70057;3.96718;20.53342),(-0.02396579;0.1206654;0.00291399;0.9923996),(0.2501053;0.2501053;0.2501052),(21.67002;4.588512;23.55688),(0.03406525;-0.03003856;0.001024329;0.9989676),(0.09440803;0.09440802;0.09440802),(21.4302;4.315992;27.54087),(-0.007678985;-0.9985805;-0.03842723;0.03607432),(1;1;1),(21.46615;4.316514;27.5673),(8.14721E-05;0.0006751195;-0.9999859),71.2550156
