User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,2,09-25-24,05:09:53,10.9174033,15.884,6.332386,7.52307,(0.2586358;0.2586358;0.2586358),204,6.446962,6.655987,5.235283,(0.183184;0.183184;0.183184),68,(20.43278;3.113768;21.26441),(-0.08950486;0.07177155;0.006466737;0.993376),(0.2586358;0.2586358;0.2586358),(21.70376;5.163735;21.04237),(0.06529114;-0.02553703;0.001671457;0.997538),(0.183184;0.183184;0.183184),(21.36395;4.290631;27.67487),(0.03672104;-0.9981807;-0.04155442;0.02366577),(1;1;1),(21.36992;4.294461;27.71214),(0.01046703;0.01784506;-0.999774),13.2126739
,officeTest,16,09-25-24,05:09:57,15.7019488,7.829387,3.692911,7.941694,(0.1545727;0.1545727;0.1545727),161,17.62187,7.924362,7.513695,(0.3262199;0.3262199;0.3262199),153,(21.3668;4.031162;23.95495),(-0.0345636;-0.0005161817;-1.785177E-05;0.9994024),(0.1545727;0.1545727;0.1545727),(22.24957;2.592827;19.5824),(-0.1023696;-0.05425552;-0.005591863;0.99325),(0.3262199;0.3262199;0.3262199),(21.36296;4.288691;27.6737),(0.03952545;-0.9984648;-0.02908562;0.02568781),(1;1;0.9999999),(21.34833;4.291191;27.71142),(-0.01289998;0.005100723;-0.9998978),17.9038884
,officeTest,17,09-25-24,05:10:01,19.3986233,12.18168,5.9484,5.241017,(0.1666042;0.1666042;0.1666042),298,9.147465,2.84428,4.779562,(0.07193233;0.07193233;0.07193233),159,(19.88497;5.039708;21.81799),(0.06142021;0.1230909;-0.007633063;0.9904635),(0.1666042;0.1666042;0.1666042),(21.41528;3.990915;24.80799),(-0.05160414;-0.009092763;-0.0004698698;0.9986261),(0.07193232;0.07193234;0.07193234),(21.3631;4.287866;27.67309),(0.03952187;-0.9986877;-0.02135185;0.02459828),(1;1;1),(21.36495;4.292561;27.70955),(0.006456774;0.02643152;-0.9996186),21.7834428
,officeTest,11,09-25-24,05:10:05,23.5081491,6.442091,7.248183,5.054813,(0.1926085;0.1926085;0.1926085),155,20.90824,6.522328,6.86362,(0.2502701;0.2502701;0.2502701),319,(21.35777;3.880991;20.39006),(-0.0279153;0.0002577352;7.197561E-06;0.9996102),(0.1926084;0.1926085;0.1926085),(19.21581;6.296773;21.33965),(0.1434568;0.1608784;-0.02364161;0.9762067),(0.2502701;0.2502701;0.2502701),(21.36152;4.288074;27.67293),(0.04105572;-0.9985417;-0.02202944;0.02727146),(1;1;1),(21.39538;4.296827;27.71039),(0.01024952;0.014923;-0.9998326),26.2963913
,officeTest,8,09-25-24,05:10:09,27.7951918,23.91621,5.745943,4.872979,(0.1600087;0.1600087;0.1600087),155,11.53056,2.403021,7.956082,(0.101881;0.101881;0.101881),292,(22.21722;2.42388;21.73951),(-0.1498283;-0.07088773;-0.01077061;0.9861087),(0.1600086;0.1600087;0.1600086),(20.71993;4.571558;25.32861),(0.05682029;0.1320422;-0.007581639;0.9895852),(0.101881;0.101881;0.101881),(21.35874;4.290845;27.67977),(0.04401353;-0.9979732;-0.03049796;0.03438318),(1;1;1),(21.36198;4.29505;27.71651),(0.0004087761;0.01996749;-0.9997867),30.07147
,officeTest,14,09-25-24,05:10:13,31.5722073,18.15848,6.763663,5.105536,(0.1898438;0.1898438;0.1898438),197,15.18236,4.84242,6.143103,(0.1609912;0.1609912;0.1609912),338,(20.41106;2.515906;20.85383),(-0.1254074;0.06836373;0.008662463;0.9897092),(0.1898438;0.1898438;0.1898438),(20.42553;5.739983;22.96923),(0.1452264;0.09656204;-0.0142431;0.9845721),(0.1609912;0.1609912;0.1609912),(21.35883;4.291305;27.68156),(0.04259169;-0.9980445;-0.0304114;0.03418132),(1;1;1),(21.36476;4.296128;27.71914),(0.001053728;0.0046909;-0.9999768),33.670178
,officeTest,9,09-25-24,05:10:17,35.1935135,20.37253,3.09615,5.860628,(0.1011021;0.1011021;0.1011021),212,13.91553,4.833877,5.019829,(0.130591;0.130591;0.130591),269,(20.61451;3.445469;24.57423),(-0.1282366;0.1163729;0.01515398;0.9847757),(0.1011021;0.1011021;0.1011021),(19.82536;4.441944;22.94317),(0.01494282;0.1559052;-0.00235878;0.9876562),(0.130591;0.130591;0.130591),(21.35867;4.291286;27.67889),(0.04334353;-0.998008;-0.03026037;0.03443642),(1;1;1),(21.36524;4.296012;27.71555),(0.006083578;0.01508557;-0.9998643),37.2888846
,officeTest,6,09-25-24,05:10:25,43.122227,8.404638,7.843071,7.617294,(0.315346;0.315346;0.315346),349,15.67642,5.49231,4.917554,(0.1465427;0.1465427;0.1465427),60,(20.652;5.917793;19.9508),(0.1029726;0.045561;-0.004721618;0.993629),(0.315346;0.3153459;0.315346),(22.34973;5.53211;22.19818),(0.1089168;-0.08850406;0.009736402;0.9900553),(0.1465427;0.1465427;0.1465427),(21.36212;4.292006;27.67797),(0.04200583;-0.9982589;-0.03381662;0.02389717),(1;1;1),(21.39581;4.299863;27.71617),(0.005948298;0.0164004;-0.9998322),45.5431842
,officeTest,0,09-25-24,05:10:29,47.0421408,13.31721,4.495505,5.305573,(0.1280338;0.1280338;0.1280338),291,18.89936,4.10074,5.389758,(0.1220311;0.1220311;0.1220311),127,(20.08505;4.847278;23.27074),(0.05970044;0.1404022;-0.008481678;0.9882566),(0.1280338;0.1280338;0.1280338),(22.31075;3.781789;23.4768),(-0.0584975;-0.1106534;-0.006524393;0.9921146),(0.1220311;0.1220311;0.1220311),(21.36238;4.291153;27.6754),(0.04114566;-0.9983206;-0.03010266;0.02750954),(1;1;0.9999999),(21.39641;4.299171;27.71289),(0.01434943;0.02704295;-0.9995168),49.1967242
,officeTest,4,09-25-24,05:10:32,50.6963807,6.403089,7.872264,7.975651,(0.3298858;0.3298858;0.3298858),163,15.51762,5.179045,7.965139,(0.2235377;0.2235377;0.2235377),110,(21.16208;4.029803;19.76296),(-0.01661099;0.0125665;0.0002087873;0.999783),(0.3298858;0.3298858;0.3298858),(22.39985;4.284349;22.40413),(-0.0007973504;-0.09708892;-7.778137E-05;0.9952754),(0.2235377;0.2235377;0.2235377),(21.36108;4.292962;27.67777),(0.04163446;-0.9979544;-0.03661388;0.03182901),(0.9999999;1;1),(21.39538;4.300502;27.71507),(0.01122756;0.01652482;-0.9997886),53.2096428
